Symbol,Company Name,Market Cap,Stock Price,Revenue
CRVL,CorVel Corporation,5.39B,314.57,816.78M
FCFS,"FirstCash Holdings, Inc.",5.30B,118.52,3.31B
SATS,EchoStar Corporation,5.30B,19.52,16.24B
DOOO,BRP Inc.,5.25B,71.58,7.25B
COLB,"Columbia Banking System, Inc.",5.23B,24.97,1.85B
RARE,Ultragenyx Pharmaceutical Inc.,5.23B,56.75,481.30M
UBSI,"United Bankshares, Inc.",5.22B,38.69,1.01B
AVAV,"AeroVironment, Inc.",5.20B,185.62,716.72M
FFIN,"First Financial Bankshares, Inc.",5.20B,36.61,496.90M
ACIW,"ACI Worldwide, Inc.",5.18B,49.48,1.53B
TPG,TPG Inc.,5.17B,50.21,2.71B
XRAY,DENTSPLY SIRONA Inc.,5.13B,25.31,3.90B
RNA,"Avidity Biosciences, Inc.",5.10B,43.52,10.60M
UMBF,UMB Financial Corporation,5.07B,104.08,1.49B
CSWI,"CSW Industrials, Inc.",5.05B,325.18,815.66M
RMBS,Rambus Inc.,5.02B,46.65,477.53M
ASTS,"AST SpaceMobile, Inc.",4.98B,32.86,1.40M
OZK,Bank OZK,4.94B,43.51,1.42B
TENB,"Tenable Holdings, Inc.",4.93B,41.35,852.04M
COLM,Columbia Sportswear Company,4.90B,83.74,3.39B
APLS,"Apellis Pharmaceuticals, Inc.",4.88B,40.11,628.79M
AVT,"Avnet, Inc.",4.87B,55.30,23.76B
RDNT,"RadNet, Inc.",4.81B,65.00,1.71B
RUN,Sunrun Inc.,4.81B,21.50,2.06B
LYFT,"Lyft, Inc.",4.79B,11.68,5.10B
ESGR,Enstar Group Limited,4.79B,326.60,1.13B
LANC,Lancaster Colony Corporation,4.78B,173.51,1.87B
BBIO,"BridgeBio Pharma, Inc.",4.76B,25.31,219.12M
EEFT,"Euronet Worldwide, Inc.",4.75B,105.72,3.80B
IMVT,"Immunovant, Inc.",4.75B,32.42,-
NVEI,Nuvei Corporation,4.72B,33.22,1.31B
BGC,"BGC Group, Inc.",4.72B,9.70,2.05B
SLM,SLM Corporation,4.71B,21.65,1.68B
FELE,"Franklin Electric Co., Inc.",4.69B,102.74,2.02B
DYN,"Dyne Therapeutics, Inc.",4.67B,46.53,-
OS,"OneStream, Inc.",4.63B,29.60,406.39M
QLYS,"Qualys, Inc.",4.60B,125.06,581.08M
ALKS,Alkermes plc,4.60B,27.95,1.51B
PI,"Impinj, Inc.",4.60B,163.67,314.98M
TSEM,Tower Semiconductor Ltd.,4.60B,41.43,1.39B
VRRM,Verra Mobility Corporation,4.59B,27.85,853.10M
ITRI,"Itron, Inc.",4.58B,101.96,2.35B
TIGO,Millicom International Cellular S.A.,4.57B,26.68,5.84B
CNXC,Concentrix Corporation,4.57B,69.95,8.65B
BRZE,"Braze, Inc.",4.56B,44.86,505.48M
FIVE,"Five Below, Inc.",4.54B,82.46,3.64B
HWC,Hancock Whitney Corporation,4.53B,52.46,1.30B
VLY,Valley National Bancorp,4.53B,8.89,1.65B
IAC,IAC Inc.,4.47B,51.96,4.05B
PECO,"Phillips Edison & Company, Inc.",4.47B,36.45,629.74M
CAMT,Camtek Ltd.,4.44B,97.97,368.76M
DJT,Trump Media & Technology Group Corp.,4.44B,22.81,3.43M
WAY,Waystar Holding Corp.,4.40B,26.39,863.29M
SHC,Sotera Health Company,4.37B,15.42,1.10B
VNOM,"Viper Energy, Inc.",4.34B,47.41,878.51M
CRSP,CRISPR Therapeutics AG,4.31B,48.69,202.23M
FIZZ,National Beverage Corp.,4.29B,45.84,1.19B
ADMA,"ADMA Biologics, Inc.",4.29B,18.40,330.24M
STNE,StoneCo Ltd.,4.27B,13.94,2.18B
SGRY,"Surgery Partners, Inc.",4.26B,33.69,2.89B
CRNX,"Crinetics Pharmaceuticals, Inc.",4.25B,53.15,1.39M
RUSHA,"Rush Enterprises, Inc.",4.22B,53.64,7.91B
AXSM,"Axsome Therapeutics, Inc.",4.22B,87.99,291.49M
AEIS,"Advanced Energy Industries, Inc.",4.17B,110.70,1.51B
LOPE,"Grand Canyon Education, Inc.",4.13B,142.29,1.00B
BLKB,"Blackbaud, Inc.",4.13B,81.77,1.14B
RUSHB,"Rush Enterprises, Inc.",4.13B,47.80,7.91B
PRCT,PROCEPT BioRobotics Corporation,4.12B,79.34,176.58M
NCNO,"nCino, Inc.",4.03B,35.00,490.96M
IPAR,"Inter Parfums, Inc.",4.02B,125.66,1.36B
LITE,Lumentum Holdings Inc.,4.02B,59.17,1.36B
ICUI,"ICU Medical, Inc.",3.99B,163.55,2.30B
FORM,"FormFactor, Inc.",3.98B,51.41,705.94M
GBDC,"Golub Capital BDC, Inc.",3.97B,14.99,664.81M
ASO,"Academy Sports and Outdoors, Inc.",3.93B,54.49,6.14B
SBRA,"Sabra Health Care REIT, Inc.",3.90B,16.63,665.99M
QFIN,"Qifu Technology, Inc.",3.88B,25.02,2.35B
IBOC,International Bancshares Corporation,3.88B,62.45,798.42M
SANM,Sanmina Corporation,3.87B,70.76,7.60B
POWI,"Power Integrations, Inc.",3.86B,67.90,412.90M
IESC,"IES Holdings, Inc.",3.84B,192.43,2.76B
SLAB,Silicon Laboratories Inc.,3.82B,118.32,542.35M
OTTR,Otter Tail Corporation,3.80B,90.89,1.36B
UPST,"Upstart Holdings, Inc.",3.76B,42.00,575.96M
PAGP,"Plains GP Holdings, L.P.",3.76B,19.05,49.70B
TFSL,TFS Financial Corporation,3.75B,13.46,305.49M
ACLX,"Arcellx, Inc.",3.73B,69.38,144.75M
ACLS,"Axcelis Technologies, Inc.",3.73B,114.22,1.11B
FTDR,"Frontdoor, Inc.",3.71B,48.52,1.81B
PTEN,"Patterson-UTI Energy, Inc.",3.66B,9.31,5.45B
MRUS,Merus N.V.,3.66B,53.59,35.19M
STEP,StepStone Group Inc.,3.65B,53.68,720.02M
NEOG,Neogen Corporation,3.64B,16.78,924.22M
CORT,Corcept Therapeutics Incorporated,3.64B,34.79,569.61M
LLYVK,Liberty Live Group,3.63B,39.61,-
STRL,"Sterling Infrastructure, Inc.",3.63B,118.10,2.07B
TRMD,TORM plc,3.61B,38.32,1.63B
LLYVA,Liberty Live Group,3.61B,38.83,-
FRSH,Freshworks Inc.,3.61B,11.95,652.94M
IOVA,"Iovance Biotherapeutics, Inc.",3.60B,11.87,32.77M
ALVO,Alvotech,3.59B,11.89,308.73M
GH,"Guardant Health, Inc.",3.57B,29.02,643.81M
CLBT,Cellebrite DI Ltd.,3.57B,17.15,346.76M
URBN,"Urban Outfitters, Inc.",3.56B,38.59,5.32B
ZI,ZoomInfo Technologies Inc.,3.55B,9.72,1.23B
VCTR,"Victory Capital Holdings, Inc.",3.55B,54.69,850.96M
DNLI,Denali Therapeutics Inc.,3.55B,24.77,1.27M
BANF,BancFirst Corporation,3.54B,107.06,594.14M
AXNX,"Axonics, Inc.",3.52B,68.95,408.81M
TGTX,"TG Therapeutics, Inc.",3.51B,24.46,346.72M
FULT,Fulton Financial Corporation,3.51B,19.28,1.08B
CALM,"Cal-Maine Foods, Inc.",3.50B,71.45,2.33B
LOT,Lotus Technology Inc.,3.50B,5.17,832.97M
SRAD,Sportradar Group AG,3.49B,11.71,1.07B
FOLD,"Amicus Therapeutics, Inc.",3.49B,11.76,455.66M
PLXS,Plexus Corp.,3.49B,128.04,3.93B
PCH,PotlatchDeltic Corporation,3.48B,44.16,1.07B
RKLB,"Rocket Lab USA, Inc.",3.46B,6.96,326.67M
CCOI,"Cogent Communications Holdings, Inc.",3.46B,72.93,999.44M
DORM,"Dorman Products, Inc.",3.44B,111.89,1.95B
KTOS,"Kratos Defense & Security Solutions, Inc.",3.44B,22.77,1.13B
WEN,The Wendy's Company,3.43B,16.90,2.20B
WDFC,WD-40 Company,3.42B,252.40,575.02M
GLNG,Golar LNG Limited,3.42B,32.84,276.58M
ROAD,"Construction Partners, Inc.",3.41B,64.67,1.76B
IDCC,"InterDigital, Inc.",3.39B,135.08,732.66M
CVCO,"Cavco Industries, Inc.",3.38B,409.16,1.80B
EBC,"Eastern Bankshares, Inc.",3.37B,16.64,601.89M
INTR,"Inter & Co, Inc.",3.36B,7.65,690.49M
SITM,SiTime Corporation,3.35B,144.75,154.81M
IDYA,"IDEAYA Biosciences, Inc.",3.34B,39.49,11.96M
ALKT,"Alkami Technology, Inc.",3.34B,33.70,297.36M
RRR,"Red Rock Resorts, Inc.",3.32B,56.25,1.85B
NWE,"NorthWestern Energy Group, Inc.",3.31B,54.04,1.47B
DIOD,Diodes Incorporated,3.30B,71.28,1.35B
WSFS,WSFS Financial Corporation,3.28B,55.37,959.60M
SHOO,"Steven Madden, Ltd.",3.28B,45.16,2.15B
JJSF,J&J Snack Foods Corp.,3.26B,167.99,1.59B
GDS,GDS Holdings Limited,3.24B,16.69,1.45B
CATY,Cathay General Bancorp,3.24B,44.84,735.21M
FIBK,"First Interstate BancSystem, Inc.",3.21B,30.73,974.90M
INTA,"Intapp, Inc.",3.21B,43.75,430.52M
SMPL,The Simply Good Foods Company,3.20B,31.96,1.28B
AMED,"Amedisys, Inc.",3.19B,97.56,2.29B
SYNA,Synaptics Incorporated,3.19B,80.54,959.40M
NMIH,"NMI Holdings, Inc.",3.17B,39.80,617.91M
BL,"BlackLine, Inc.",3.16B,50.83,624.41M
ACVA,ACV Auctions Inc.,3.16B,18.96,543.70M
TCBI,"Texas Capital Bancshares, Inc.",3.16B,68.35,972.13M
MGEE,"MGE Energy, Inc.",3.16B,87.24,645.73M
IPGP,IPG Photonics Corporation,3.14B,71.05,1.11B
IRDM,Iridium Communications Inc.,3.14B,26.53,797.26M
CAR,"Avis Budget Group, Inc.",3.14B,87.92,11.93B
MLTX,MoonLake Immunotherapeutics,3.13B,49.77,-
CLSK,"CleanSpark, Inc.",3.13B,12.61,342.21M
GDRX,"GoodRx Holdings, Inc.",3.12B,8.23,775.09M
MEOH,Methanex Corporation,3.11B,46.05,3.58B
FHB,"First Hawaiian, Inc.",3.10B,24.26,802.87M
XENE,Xenon Pharmaceuticals Inc.,3.09B,40.76,-
ARWR,"Arrowhead Pharmaceuticals, Inc.",3.08B,24.78,19.65M
ARLP,"Alliance Resource Partners, L.P.",3.08B,24.05,2.51B
NWL,Newell Brands Inc.,3.08B,7.40,7.81B
SKYW,"SkyWest, Inc.",3.06B,76.29,3.19B
ICFI,"ICF International, Inc.",3.06B,163.09,1.99B
SWTX,"SpringWorks Therapeutics, Inc.",3.05B,41.15,86.19M
KYMR,"Kymera Therapeutics, Inc.",3.05B,47.78,88.55M
AGYS,"Agilysys, Inc.",3.04B,110.40,244.92M
ALRM,"Alarm.com Holdings, Inc.",3.04B,61.67,905.18M
QDEL,QuidelOrtho Corporation,3.03B,45.01,2.83B
OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",3.00B,62.23,814.04M
WAFD,"WaFd, Inc.",3.00B,36.89,666.87M
PATK,"Patrick Industries, Inc.",2.98B,132.98,3.60B
HCM,HUTCHMED (China) Limited,2.97B,17.26,610.81M
CARG,"CarGurus, Inc.",2.97B,28.72,877.03M
BWIN,"The Baldwin Insurance Group, Inc.",2.97B,44.46,1.31B
IBRX,"ImmunityBio, Inc.",2.96B,4.25,1.31M
LIF,"Life360, Inc.",2.94B,40.24,328.68M
PENN,"PENN Entertainment, Inc.",2.93B,19.57,6.28B
FROG,JFrog Ltd.,2.93B,26.51,389.25M
TNDM,"Tandem Diabetes Care, Inc.",2.92B,44.60,796.00M
PLTK,Playtika Holding Corp.,2.91B,7.83,2.55B
IOSP,Innospec Inc.,2.84B,113.69,1.89B
TXG,"10x Genomics, Inc.",2.83B,23.49,631.73M
APGE,"Apogee Therapeutics, Inc.",2.83B,48.36,-
RYTM,"Rhythm Pharmaceuticals, Inc.",2.82B,46.12,101.78M
VC,Visteon Corporation,2.79B,100.90,3.95B
CORZ,"Core Scientific, Inc.",2.78B,10.76,575.23M
SMTC,Semtech Corporation,2.77B,36.91,838.32M
FA,First Advantage Corporation,2.76B,18.99,756.89M
CRTO,Criteo S.A.,2.76B,49.30,1.96B
BHF,"Brighthouse Financial, Inc.",2.76B,45.37,4.01B
BATRA,"Atlanta Braves Holdings, Inc.",2.74B,46.24,659.53M
GERN,Geron Corporation,2.74B,4.54,1.37M
HUBG,"Hub Group, Inc.",2.72B,43.69,4.00B
MQ,"Marqeta, Inc.",2.71B,5.34,470.95M
BATRK,"Atlanta Braves Holdings, Inc.",2.71B,43.74,659.53M
PSMT,"PriceSmart, Inc.",2.71B,89.30,4.81B
RELY,"Remitly Global, Inc.",2.69B,13.78,1.08B
PAYO,Payoneer Global Inc.,2.68B,7.03,900.06M
MGRC,McGrath RentCorp,2.68B,109.13,865.53M
INDB,Independent Bank Corp.,2.68B,62.99,677.67M
SFNC,Simmons First National Corporation,2.67B,21.30,727.05M
CENT,Central Garden & Pet Company,2.67B,39.63,3.28B
LGIH,"LGI Homes, Inc.",2.65B,112.85,2.22B
NFE,New Fortress Energy Inc.,2.65B,12.90,2.36B
ACAD,ACADIA Pharmaceuticals Inc.,2.64B,15.94,890.53M
PRFT,"Perficient, Inc.",2.64B,75.14,882.15M
AGIO,"Agios Pharmaceuticals, Inc.",2.63B,46.22,31.31M
PTCT,"PTC Therapeutics, Inc.",2.63B,34.15,900.45M
ARCB,ArcBest Corporation,2.63B,111.06,4.33B
VIRT,"Virtu Financial, Inc.",2.62B,30.09,1.83B
HWKN,"Hawkins, Inc.",2.62B,125.18,923.92M
PLMR,"Palomar Holdings, Inc.",2.60B,99.04,445.93M
AMRX,"Amneal Pharmaceuticals, Inc.",2.59B,8.38,2.60B
SNEX,StoneX Group Inc.,2.59B,81.50,84.27B
UFPT,"UFP Technologies, Inc.",2.58B,336.70,417.47M
RIOT,"Riot Platforms, Inc.",2.58B,8.50,280.02M
AY,Atlantica Sustainable Infrastructure plc,2.58B,22.20,1.13B
TBBK,"The Bancorp, Inc.",2.56B,52.26,463.58M
TWST,Twist Bioscience Corporation,2.56B,43.66,295.21M
OSIS,"OSI Systems, Inc.",2.56B,150.00,1.54B
FFBC,First Financial Bancorp.,2.56B,26.77,772.98M
MYGN,"Myriad Genetics, Inc.",2.55B,28.12,802.20M
PYCR,"Paycor HCM, Inc.",2.55B,14.26,654.95M
CVBF,CVB Financial Corp.,2.54B,18.19,527.11M
PLUS,ePlus inc.,2.54B,95.51,2.20B
TOWN,TowneBank,2.54B,34.31,668.08M
GT,The Goodyear Tire & Rubber Company,2.53B,8.89,19.37B
LIVN,LivaNova PLC,2.53B,46.60,1.21B
FLNC,"Fluence Energy, Inc.",2.53B,19.58,2.14B
NARI,"Inari Medical, Inc.",2.53B,43.34,547.47M
PPBI,"Pacific Premier Bancorp, Inc.",2.52B,26.18,394.69M
FIVN,"Five9, Inc.",2.52B,33.77,968.26M
SBLK,Star Bulk Carriers Corp.,2.52B,21.23,1.10B
PRVA,"Privia Health Group, Inc.",2.49B,20.86,1.70B
CGON,"CG Oncology, Inc.",2.48B,37.02,539.00K
PRGS,Progress Software Corporation,2.47B,57.80,711.72M
CLDX,"Celldex Therapeutics, Inc.",2.46B,37.17,8.30M
VCYT,"Veracyte, Inc.",2.46B,32.00,399.58M
PTGX,"Protagonist Therapeutics, Inc.",2.46B,41.68,319.12M
GOGL,Golden Ocean Group Limited,2.45B,12.24,935.99M
DLO,DLocal Limited,2.45B,8.52,707.64M
MLCO,Melco Resorts & Entertainment Limited,2.43B,5.51,4.38B
SYM,Symbotic Inc.,2.42B,23.36,1.68B
VCEL,Vericel Corporation,2.42B,49.29,214.52M
RPD,"Rapid7, Inc.",2.41B,38.49,817.20M
CPRX,"Catalyst Pharmaceuticals, Inc.",2.41B,20.32,434.48M
ATAT,Atour Lifestyle Holdings Limited,2.41B,17.52,742.38M
AZTA,"Azenta, Inc.",2.41B,49.24,658.62M
NTLA,"Intellia Therapeutics, Inc.",2.40B,23.63,45.97M
HTLF,"Heartland Financial USA, Inc.",2.40B,55.89,546.04M
IBTX,"Independent Bank Group, Inc.",2.40B,57.82,473.48M
JANX,"Janux Therapeutics, Inc.",2.40B,45.92,15.13M
ADUS,Addus HomeCare Corporation,2.39B,133.58,1.11B
DRVN,Driven Brands Holdings Inc.,2.38B,14.50,2.32B
CENTA,Central Garden & Pet Company,2.38B,34.26,3.28B
KLIC,"Kulicke and Soffa Industries, Inc.",2.37B,43.57,727.23M
STRA,"Strategic Education, Inc.",2.37B,97.39,1.19B
LFST,"LifeStance Health Group, Inc.",2.36B,6.18,1.16B
ASTH,"Astrana Health, Inc.",2.36B,48.12,1.59B
JAMF,Jamf Holding Corp.,2.36B,18.50,598.41M
NMRK,"Newmark Group, Inc.",2.36B,13.73,2.54B
LAUR,"Laureate Education, Inc.",2.34B,15.31,1.55B
WERN,"Werner Enterprises, Inc.",2.33B,37.77,3.17B
AMPH,"Amphastar Pharmaceuticals, Inc.",2.33B,47.95,712.89M
SBCF,Seacoast Banking Corporation of Florida,2.33B,27.60,504.47M
USLM,"United States Lime & Minerals, Inc.",2.32B,81.38,288.80M
NBTB,NBT Bancorp Inc.,2.32B,49.12,516.78M
POWL,"Powell Industries, Inc.",2.31B,192.78,945.93M
CMPR,Cimpress plc,2.31B,92.19,3.29B
GPCR,Structure Therapeutics Inc.,2.28B,39.79,-
APPN,Appian Corporation,2.28B,31.45,578.70M
FRME,First Merchants Corporation,2.25B,38.42,601.34M
IQ,"iQIYI, Inc.",2.25B,2.34,4.28B
RXST,"RxSight, Inc.",2.24B,56.45,115.18M
MRCY,"Mercury Systems, Inc.",2.23B,37.49,835.28M
FLYW,Flywire Corporation,2.20B,17.58,441.65M
PDCO,"Patterson Companies, Inc.",2.20B,24.98,6.57B
RXRX,"Recursion Pharmaceuticals, Inc.",2.19B,7.81,49.64M
VSAT,"Viasat, Inc.",2.19B,17.14,4.63B
IRTC,"iRhythm Technologies, Inc.",2.19B,70.01,537.09M
VRNA,Verona Pharma plc,2.18B,26.88,-
LION,Lionsgate Studios Corp.,2.18B,7.55,2.95B
ODD,Oddity Tech Ltd.,2.16B,38.04,596.12M
SIMO,Silicon Motion Technology Corporation,2.16B,64.07,774.69M
VECO,Veeco Instruments Inc.,2.16B,38.00,701.65M
BTSG,"BrightSpring Health Services, Inc.",2.16B,12.57,9.94B
VERA,"Vera Therapeutics, Inc.",2.15B,39.30,-
CERT,"Certara, Inc.",2.14B,13.29,363.55M
NEO,"NeoGenomics, Inc.",2.14B,16.66,628.25M
RZLV,Rezolve AI Limited,2.13B,10.05,-
PSEC,Prospect Capital Corporation,2.12B,5.08,870.91M
MBIN,Merchants Bancorp,2.12B,46.37,614.23M
BEAM,Beam Therapeutics Inc.,2.12B,26.81,352.57M
ROCK,"Gibraltar Industries, Inc.",2.10B,68.88,1.37B
TTMI,"TTM Technologies, Inc.",2.09B,20.49,2.32B
MLKN,"MillerKnoll, Inc.",2.08B,29.85,3.63B
ZD,"Ziff Davis, Inc.",2.08B,46.45,1.37B
HRMY,"Harmony Biosciences Holdings, Inc.",2.07B,36.36,656.11M
CAKE,The Cheesecake Factory Incorporated,2.07B,40.61,3.50B
PTVE,Pactiv Evergreen Inc.,2.07B,11.52,5.24B
OMCL,"Omnicell, Inc.",2.06B,44.80,1.08B
LMAT,"LeMaitre Vascular, Inc.",2.06B,91.67,205.62M
PINC,"Premier, Inc.",2.05B,20.50,1.35B
NSSC,"Napco Security Technologies, Inc.",2.05B,55.47,183.15M
AMBA,"Ambarella, Inc.",2.04B,49.87,218.81M
BANR,Banner Corporation,2.04B,59.15,593.74M
TRMK,Trustmark Corporation,2.03B,33.18,536.99M
YY,JOYY Inc.,2.03B,34.23,2.25B
VRNT,Verint Systems Inc.,2.03B,32.89,915.10M
TRIP,"Tripadvisor, Inc.",2.02B,14.60,1.82B
EXPI,"eXp World Holdings, Inc.",2.02B,13.11,4.44B
SPNS,Sapiens International Corporation N.V.,2.01B,36.08,532.61M
AVPT,"AvePoint, Inc.",2.01B,10.79,299.88M
TFIN,"Triumph Financial, Inc.",2.01B,86.25,400.00M
MGPI,"MGP Ingredients, Inc.",2.00B,91.10,787.88M
MGNI,"Magnite, Inc.",2.00B,14.16,649.22M
ENLT,Enlight Renewable Energy Ltd,1.98B,16.24,307.24M
ROIC,Retail Opportunity Investments Corp.,1.98B,15.51,335.05M
FTRE,Fortrea Holdings Inc.,1.97B,22.03,3.01B
EFSC,Enterprise Financial Services Corp,1.97B,52.81,582.46M
HPK,"HighPeak Energy, Inc.",1.97B,15.47,1.21B
PGNY,"Progyny, Inc.",1.97B,21.80,1.13B
TRUP,"Trupanion, Inc.",1.97B,46.63,1.20B
MIRM,"Mirum Pharmaceuticals, Inc.",1.96B,41.12,264.38M
EXTR,"Extreme Networks, Inc.",1.96B,15.01,1.12B
KNSA,"Kiniksa Pharmaceuticals International, plc",1.95B,27.38,338.93M
NVCR,NovoCure Limited,1.95B,18.02,549.96M
GSHD,"Goosehead Insurance, Inc",1.94B,80.30,275.47M
PLUG,Plug Power Inc.,1.94B,2.20,684.49M
WSBC,"WesBanco, Inc.",1.93B,32.46,563.25M
SUPN,"Supernus Pharmaceuticals, Inc.",1.93B,34.97,630.16M
VEON,VEON Ltd.,1.92B,27.37,3.87B
NVAX,"Novavax, Inc.",1.92B,11.99,987.67M
EVCM,EverCommerce Inc.,1.92B,10.41,691.69M
AKRO,"Akero Therapeutics, Inc.",1.91B,27.46,-
HLMN,Hillman Solutions Corp.,1.90B,9.67,1.48B
LGND,Ligand Pharmaceuticals Incorporated,1.90B,103.82,133.48M
WB,Weibo Corporation,1.89B,7.77,1.74B
WULF,TeraWulf Inc.,1.89B,4.93,120.25M
IAS,Integral Ad Science Holding Corp.,1.88B,11.68,498.16M
CNXN,"PC Connection, Inc.",1.88B,71.46,2.76B
SPT,"Sprout Social, Inc.",1.88B,32.91,375.30M
PSNY,Polestar Automotive Holding UK PLC,1.88B,0.89,2.18B
NMRA,"Neumora Therapeutics, Inc.",1.87B,11.68,-
CLBK,"Columbia Financial, Inc.",1.87B,17.85,205.62M
ENVX,Enovix Corporation,1.86B,10.57,16.62M
VIAV,Viavi Solutions Inc.,1.86B,8.38,1.00B
LILAK,Liberty Latin America Ltd.,1.84B,9.38,4.51B
RNW,ReNew Energy Global Plc,1.84B,5.68,984.89M
LILA,Liberty Latin America Ltd.,1.84B,9.37,4.51B
UPBD,"Upbound Group, Inc.",1.83B,33.41,4.17B
GTX,Garrett Motion Inc.,1.82B,8.34,3.71B
PTON,"Peloton Interactive, Inc.",1.82B,4.84,2.70B
DNUT,"Krispy Kreme, Inc.",1.81B,10.69,1.74B
PAX,Patria Investments Limited,1.81B,11.87,316.72M
EWTX,"Edgewise Therapeutics, Inc.",1.81B,19.33,-
SOUN,"SoundHound AI, Inc.",1.80B,5.03,55.47M
ARVN,"Arvinas, Inc.",1.80B,26.18,93.30M
IMCR,Immunocore Holdings plc,1.79B,35.76,280.91M
ARHS,"Arhaus, Inc.",1.79B,12.71,1.28B
ALHC,"Alignment Healthcare, Inc.",1.77B,9.27,2.23B
FBNC,First Bancorp,1.77B,42.95,380.10M
SYBT,"Stock Yards Bancorp, Inc.",1.77B,60.27,327.47M
ZLAB,Zai Lab Limited,1.77B,18.02,322.71M
HURN,Huron Consulting Group Inc.,1.76B,107.64,1.43B
MRX,Marex Group plc,1.76B,24.24,2.08B
NAVI,Navient Corporation,1.76B,16.12,1.03B
VICR,Vicor Corporation,1.76B,39.05,370.22M
SLNO,"Soleno Therapeutics, Inc.",1.76B,45.25,-
NWBI,"Northwest Bancshares, Inc.",1.76B,13.80,491.91M
HEES,"H&E Equipment Services, Inc.",1.75B,48.55,1.53B
CHCO,City Holding Company,1.75B,119.15,287.62M
SNDX,"Syndax Pharmaceuticals, Inc.",1.75B,20.58,3.50M
DSGR,"Distribution Solutions Group, Inc.",1.75B,37.43,1.70B
WBTN,WEBTOON Entertainment Inc.,1.74B,13.55,1.30B
UCTT,"Ultra Clean Holdings, Inc.",1.74B,38.59,1.87B
GO,Grocery Outlet Holding Corp.,1.74B,17.73,4.16B
GLPG,Galapagos NV,1.72B,25.89,280.08M
FOXF,Fox Factory Holding Corp.,1.72B,41.21,1.35B
CLMT,"Calumet, Inc.",1.72B,19.98,4.27B
KROS,"Keros Therapeutics, Inc.",1.71B,45.51,271.00K
LKFN,Lakeland Financial Corporation,1.70B,66.78,243.10M
MYRG,MYR Group Inc.,1.70B,102.80,3.59B
RCKT,"Rocket Pharmaceuticals, Inc.",1.69B,18.59,-
ANDE,"The Andersons, Inc.",1.69B,49.91,12.36B
RUM,Rumble Inc.,1.68B,5.93,78.58M
HLIT,Harmonic Inc.,1.68B,14.41,555.10M
BCRX,"BioCryst Pharmaceuticals, Inc.",1.68B,8.10,382.24M
VSEC,VSE Corporation,1.68B,90.94,974.18M
CASH,"Pathward Financial, Inc.",1.67B,67.03,695.79M
CDNA,"CareDx, Inc",1.66B,31.54,297.08M
CLOV,"Clover Health Investments, Corp.",1.66B,3.34,2.09B
JBLU,JetBlue Airways Corporation,1.66B,4.78,9.32B
STBA,"S&T Bancorp, Inc.",1.66B,43.32,386.45M
AVDX,"AvidXchange Holdings, Inc.",1.64B,7.89,413.47M
AFYA,Afya Limited,1.64B,18.17,552.54M
SEDG,"SolarEdge Technologies, Inc.",1.64B,28.77,1.51B
STAA,STAAR Surgical Company,1.64B,33.27,332.94M
IART,Integra LifeSciences Holdings Corporation,1.63B,21.07,1.57B
TLRY,"Tilray Brands, Inc.",1.63B,1.93,788.94M
INDV,Indivior PLC,1.62B,12.30,1.15B
OSW,OneSpaWorld Holdings Limited,1.61B,15.39,847.19M
IREN,Iris Energy Limited,1.61B,8.62,165.54M
CHEF,"The Chefs' Warehouse, Inc.",1.61B,40.33,3.66B
SKWD,"Skyward Specialty Insurance Group, Inc.",1.60B,39.82,1.03B
AVDL,Avadel Pharmaceuticals plc,1.59B,16.50,95.15M
BLBD,Blue Bird Corporation,1.58B,48.96,1.30B
STER,Sterling Check Corp.,1.58B,16.16,736.51M
OPEN,Opendoor Technologies Inc.,1.58B,2.25,4.54B
THRM,Gentherm Incorporated,1.58B,50.31,1.46B
OLPX,"Olaplex Holdings, Inc.",1.58B,2.38,438.12M
NVEE,"NV5 Global, Inc.",1.57B,96.48,904.41M
BUSE,First Busey Corporation,1.56B,27.44,436.32M
AMWD,American Woodmark Corporation,1.55B,99.74,1.85B
PLAB,"Photronics, Inc.",1.55B,24.53,885.01M
HOPE,"Hope Bancorp, Inc.",1.55B,12.84,497.58M
NRIX,"Nurix Therapeutics, Inc.",1.55B,24.02,62.30M
KURA,"Kura Oncology, Inc.",1.55B,20.18,-
BLMN,"Bloomin' Brands, Inc.",1.54B,18.18,4.59B
BCYC,Bicycle Therapeutics plc,1.54B,22.38,39.57M
HROW,"Harrow, Inc.",1.52B,42.70,154.15M
DVAX,Dynavax Technologies Corporation,1.51B,11.49,249.69M
NTCT,"NetScout Systems, Inc.",1.50B,21.08,792.88M
PRDO,Perdoceo Education Corporation,1.50B,22.88,662.85M
SRCE,1st Source Corporation,1.50B,61.16,367.02M
PZZA,"Papa John's International, Inc.",1.50B,45.93,2.12B
BLTE,"Belite Bio, Inc",1.50B,48.91,-
ARDX,"Ardelyx, Inc.",1.49B,6.35,210.00M
SAVA,"Cassava Sciences, Inc.",1.48B,30.95,-
TCBK,TriCo Bancshares,1.48B,44.86,388.27M
MNKD,MannKind Corporation,1.48B,5.37,248.37M
APOG,"Apogee Enterprises, Inc.",1.48B,67.26,1.39B
IRON,"Disc Medicine, Inc.",1.47B,49.41,-
NAMS,NewAmsterdam Pharma Company N.V.,1.46B,16.26,7.42M
CNTA,Centessa Pharmaceuticals plc,1.46B,12.85,6.85M
SDGR,"Schrödinger, Inc.",1.45B,19.87,200.63M
