News1,News2,News3,News4,News5
Gogo price target lowered to $11 from $12 at Morgan Stanley,Gogo announces partnership with Skyservice Business Aviation,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
Compass Point Keeps Their Buy Rating on FTAI Infrastructure Incorporation (FIP),FTAI Infrastructure price target raised to $13 from $11 at Compass Point,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
"Heartland Express, Inc. Announces Participation in Upcoming Conference",NaN,NaN,NaN,NaN
Tarsus to Participate in Fireside Chat at the 2024 Wells Fargo Securities Healthcare Conference,Barclays Remains a Buy on Tarsus Pharmaceuticals (TARS),Bank of America Securities Sticks to Its Buy Rating for Tarsus Pharmaceuticals (TARS),Tarsus Pharmaceuticals (TARS) Receives a Buy from Oppenheimer,Strong Buy Rating for Tarsus Pharmaceuticals Amid Consistent Performance and Strategic Growth Initiatives
"ConnectOne Bancorp, Inc. to Expand on Long Island Through Merger with The First of Long Island Corporation","ConnectOne Bancorp, First of Long Island enter $284M merger agreement",NaN,NaN,NaN
Largest borrow rate increases among liquid names,PureCycle Technologies put volume heavy and directionally bearish,PureCycle Technologies price target raised to $8 from $7 at Stifel,Buy Rating Justified by PureCycle Technologies’ Operational Progress and Growth Potential,PureCycle Technologies price target raised to $6 from $4 at Craig-Hallum
EHang ‘unequivocally denies’ unfounded rumors of link to Chris Hu investigation,"EHang Strongly Refutes False Allegations, Clarifies Misinformation Causing Stock Volatility",EHang initiated with a Buy at UBS,EHang Holdings Soars with Record Q2 Growth,Ehang Holdings Ltd (EH) Q2 Earnings Cheat Sheet
Aurinia Pharmaceuticals call volume above normal and directionally bullish,Buy Rating Affirmed for Aurinia Pharmaceuticals on AUR200’s Clinical and Financial Promise,Aurinia Pharmaceuticals Begins AUR200 Autoimmune Therapy Trial,Aurinia Pharmaceuticals doses first participant in AUR200 trial,NaN
Pharvaris price target raised to $42 from $38 at Oppenheimer,Sell Rating on Pharvaris Amid Competitive Market and Clinical Uncertainties,Pharvaris Reveals Positive HAE Drug Data,Buy Rating Affirmed: Pharvaris’s Deucrictibant Shows Blockbuster Potential for HAE Treatment,Pharvaris’ deucrictibant shows safety and tolerability in Phase 2 HAE study
NaN,NaN,NaN,NaN,NaN
"Wells Fargo initiates GeneDx with an Equal Weight, $34 price target",GeneDx initiated with an Equal Weight at Wells Fargo,Craig-Hallum Issues a Buy Rating on GeneDx Holdings (WGS),NaN,NaN
Buy Rating Affirmed for Viridian Therapeutics Amid Positive Outlook on VRDN-001 for Thyroid Eye Disease,"Analysts Offer Insights on Healthcare Companies: Alnylam Pharma (ALNY), Viridian Therapeutics (VRDN) and Impedimed Limited (OtherIPDQF)",Viridian Therapeutics’ VRDN-001 Optimism: A Buy Rating Rooted in Superior Trial Results and Market Potential,Viridian Therapeutics’ VRDN-001 Shows Promise in TED Treatment: A Comprehensive Buy Rating Analysis,Viridian Therapeutics (VRDN) Gets a Buy from RBC Capital
Expert: Student loan forgiveness expectations may fuel more borrowing,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
"Analysts Conflicted on These Industrial Goods Names: Kornit Digital (KRNT), Titan Machinery (TITN) and Bowman Consulting Group (BWMN)",NaN,NaN,NaN,NaN
"CommScope, Nokia collaborate to deliver AI-driven Wi-Fi solution",Nokia announces collaboration with Ruckus Networks,Largest borrow rate increases among liquid names,CommScope price target raised to $3 from $2 at Deutsche Bank,"Analysts Have Conflicting Sentiments on These Technology Companies: Repay Holdings (RPAY), VIZIO Holding (VZIO) and CommScope Holding (COMM)"
Bank First National’s Insightful Quarterly Shareholder Newsletter,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
89bio Announces Inducement Grants Under Nasdaq Listing Rule 5635(c)(4),NaN,NaN,NaN,NaN
"3 Best Stocks to Buy Now, 9/3/2024, According to Top Analysts ",JMP Securities Sticks to Its Buy Rating for Pagaya Technologies Ltd (PGY),"Kymera upgraded, MoonLake downgraded: Wall Street’s top analyst calls",Pagaya Technologies Ltd (PGY) Receives a Buy from Benchmark Co.,Pagaya assumed with a Buy at Benchmark
BBSI to Attend the 2024 Gateway Conference on September 5th,NaN,NaN,NaN,NaN
"GigaCloud Technology, Inc. Class A (GCT) Receives a Buy from Lake Street",GigaCloud Technology: A Strong Buy Amidst Market Overreaction and Promising Growth Trajectory,NaN,NaN,NaN
Buy Rating for Phathom Pharmaceuticals Amid Strong Voquezna Prescription Growth,Phathom Pharmaceuticals’ V oquezna Shows Promising Market Penetration and Drives Buy Rating,Biotech Alert: Searches spiking for these stocks today,Phathom Pharmaceuticals to Participate in Upcoming Investor Conferences,Phathom Pharmaceuticals’ V oquezna: A Rising Star in GERD Treatment Market
"Frequent media bidder Byron Allen draws ire with late payments to ABC, CBS, NBC",Sinclair’s TBD. adds previous SNL seasons to lineup,Sinclair Broadcast expands podcast division with slate of sports programming,Deutsche Bank Reaffirms Their Hold Rating on Sinclair Broadcast (SBGI),NaN
Buy Rating Affirmed on Immunome: Promising Clinical Trials and Strategic Growth Prospects,Immunome (IMNM) Gets a Buy from Wedbush,Piper Sandler Sticks to Their Buy Rating for Immunome (IMNM),Immunome price target lowered to $23 from $27 at Piper Sandler,IMNM Upcoming Earnings Report: What to Expect?
SunCar Technology partners with SAIC Maxus for auto E-insurance solutions,NaN,NaN,NaN,NaN
Radware Sets Date for 2024 Annual General Meeting,Radware’s First Half 2024 Report: Web DDoS Attacks Climb 265%,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
"Friday’s top analyst calls: Nvidia, Tesla, Microsoft, Alphabet, Fox, Walmart, Nike","Verizon making $20B fiber buy, Topgolf and Fortive splitting up: Morning Buzz",Couchbase price target lowered to $25 from $30 at DA Davidson,D.A. Davidson Reaffirms Their Buy Rating on Couchbase (BASE),Couchbase price target lowered to $27 from $29 at Morgan Stanley
Hepsiburada to Unveil Q2 Financial Results,"Hepsiburada to Announce Second Quarter 2024 Results on September 11, 2024",Hepsiburada Sets Date for 2023 Shareholders Meeting,NaN,NaN
NaN,NaN,NaN,NaN,NaN
First Busey price target raised to $33 from $31 at Keefe Bruyette,Piper Sandler Keeps Their Hold Rating on CrossFirst Bankshares (CFB),First Busey price target raised to $29 from $28 at DA Davidson,CrossFirst Bankshares (CFB) Gets a Buy from KBW,CrossFirst Bankshares Merger with First Busey Corporation
Shoals Technologies price target lowered to $8 from $10 at Truist,Shoals Technologies price target lowered to $6 from $7 at Roth MKM,Buy Rating for Shoals Technologies Group: Strategic Growth and Competitive Edge,RBC Capital Sticks to Their Buy Rating for Shoals Technologies Group (SHLS),Optimistic Long-Term Growth and Market Expansion Outlook for Shoals Technologies Group Amidst Short-Term Challenges
Oppenheimer’s picks for a Republican or Democratic election sweep,NaN,NaN,NaN,NaN
Cracker Barrel price target lowered to $42 from $46 at Truist,"Analysts Offer Insights on Consumer Cyclical Companies: Cracker Barrel (CBRL), O-I Glass (OI) and Topgolf Callaway Brands (MODG)",Cracker Barrel (CBRL) Receives a Hold from Truist Financial,Cracker Barrel ‘disappointed’ with Biglari Holdings proxy contest,NaN
Community Bancorp Releases Crucial Investor Updates,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
"Stocks making the biggest moves midday: Palo Alto Networks, Boeing and more","Stocks making the biggest premarket moves: Eli Lilly, Paramount Global and more","Alaska Airlines and Hawaiian Airlines merger clears DOJ, now faces DOT",Tuesday’s stock stories: What’s likely to move the market in the next session,Alaska Airlines flight attendants reject new contract
PRA Group price target lowered to $28 from $42 at Truist,NaN,NaN,NaN,NaN
Bet On It: Circa Sports throws hat in Kentucky sports betting ring ahead of NFL,Buy Rating on Golden Entertainment: Undervalued with Potential for Growth and Expansion,Golden Entertainment price target lowered to $41 from $44 at Macquarie,Truist Financial Gives a Buy Rating to Golden Entertainment (GDEN),NaN
Praxis Precision price target raised to $151 from $145 at Needham,Praxis Precision Medicines to highlight their Epilepsy Portfolio at the International League Against Epilepsy 15th European Epilepsy Congress with six presentations,Praxis Precision price target raised to $143 from $134 at Oppenheimer,Buy Rating Affirmed for Praxis Precision Medicines Amid Promising Relutrigine Clinical Data,Praxis Precision Medicines’ Promising EMBOLD Study Outcomes
"Ex-Dividend Date Nearing for These 10 Stocks – Week of August 26, 2024",NaN,NaN,NaN,NaN
"‘Massive risk’ to number of solar players flying under radar, says GLJ Research",Canadian Solar announces U.S. recycling partnership with SOLARCYCLE,Canadian Solar price target lowered to $15 from $19 at Wells Fargo,Canadian Solar price target lowered to $20 from $25 at Roth MKM,Canadian Solar (CSIQ) Receives a Buy from Roth MKM
Election 2024: Where To Put Your Money Ahead of the Vote,Rising High: MINT Shango JV to acquire Cannabist’s Florida entity,Rising High: SNDL announces successful bid to acquire Indiva,"Lord Jones’ Live Resin Vapes, Ice Water Hash Pre-Rolls available across Canada",Lord Jones® Live Resin Vapes and Ice Water Hash Pre-Rolls Now Available Across Canada
Activist Ancora joins investors’ calls for a strategic review at Forward Air,Forward Air call volume above normal and directionally bullish,Short Report: Bearish positioning in Cinemark caves as shares shine,"Medtronic, Palo Alto Networks report quarterly beats: Morning Buzz","Acora urges Forward Air to launch review, consider sale, Reuters reports"
NextNav director buys $1.7M in common stock as part of option exercise,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
"INNV Earnings Report this Week: Is It a Buy, Ahead of Earnings?",CORRECTION — InnovAge PACE Celebrates Anniversary of Vibrant Sacramento Center,InnovAge PACE Celebrates Anniversary of Vibrant Sacramento Center,NaN,NaN
A-Mark Precious Metals price target raised to $47 from $42 at DA Davidson,A-Mark Precious Metals (AMRK) Receives a Buy from D.A. Davidson,A-Mark Precious Metals: Strong Q4 Rebound Prompts Buy Recommendation and $63 Price Target,A-Mark Precious Metals participates in a conference call with Maxim Group,D.A. Davidson Keeps Their Buy Rating on A-Mark Precious Metals (AMRK)
Vimeo appoints Petrocelli as Chief Product & Technology Officer,Vimeo Appoints Robert Petrocelli as Company’s First Chief Product & Technology Officer,Small Cap Stocks: VMEO Stock Continues to Stream Results and Exceed Expectations,NaN,NaN
ChipMOS Technologies Reports Strong Q2 2024 Growth,ChipMOS Technologies Posts Strong H1 2024 Earnings,ChipMOS reports Q2 EPS 38c vs. 53c last year,ChipMOS REPORTS SECOND QUARTER 2024 RESULTS,ChipMOS Technologies Ltd. (IMOS) Q2 Earnings Cheat Sheet
Analysts Offer Insights on Financial Companies: First Hawaiian (FHB) and TCG BDC (CGBD),NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
Phibro Animal Health price target raised to $15 from $13 at BofA,Phibro Animal Health (PAHC) Receives a Sell from Barclays,Phibro Animal Health Sell Rating: Concerns Over Operating Leverage and Profitability Despite Revenue Growth,Analysts Offer Insights on Healthcare Companies: Phibro Animal Health (PAHC) and Veeva Systems (VEEV),"Phibro Animal Health reports Q4 EPS 41c, consensus 33c"
Bumble’s Strategic Transition Amidst Market Challenges Prompts ‘Hold’ Rating,"Bumble CFO reiterated trends remain soft in Q3, says Citi",Bumble put volume heavy and directionally bearish,"Cisco, Nike upgrades among today’s top calls on Wall Street",TD downgrades Bumble to Hold on uncertain recovery timing
"AMSC files to sell common stock for holders, no amount given",AMSC files automatic mixed securities shelf,NaN,NaN,NaN
Compass Point Remains a Hold on SLR Investment Corp. (SLRC),KBW Sticks to Its Hold Rating for SLR Investment Corp. (SLRC),Analyst Maintains Sell Rating on SLR Investment Corp. Amid Concerns Over Performance and Competitive Landscape,SLR Investment Corp.: Strong Financial Performance and Growth Prospects Justify Buy Rating,NaN
JMP Securities Sticks to Its Hold Rating for Diversified Healthcare Trust (DHC),NaN,NaN,NaN,NaN
Benchmark Co. Remains a Buy on Humacyte (HUMA),Buy Rating Justified for HUMA: Strong Clinical Performance and Humanitarian Success in Ukraine,Humacyte presents long-term results of ATEV in vascular trauma,Wall Street Analysts Are Bullish on Top Healthcare Picks,Small Cap Stocks: FDA Delay Created Buy-On-The-Dip Opportunity for Humacyte (HUMA)
"Nayax appoints Sharir as President, CMO",Nayax Appoints Keren Sharir as President and CMO,NaN,NaN,NaN
"Analysts Offer Insights on Healthcare Companies: Xenon (XENE), Nuvalent (NUVL) and Dianthus Therapeutics (DNTH)",Promising Clinical Developments Bolster Buy Rating for Dianthus Therapeutics,Dianthus price target lowered to $36 from $38 at Wedbush,Wedbush Remains a Buy on Dianthus Therapeutics (DNTH),Dianthus Therapeutics Receives ‘Buy’ Rating on Strong Financials and Promising Drug Pipeline
NaN,NaN,NaN,NaN,NaN
Analysts Offer Insights on Consumer Cyclical Companies: National Vision Holdings (EYE) and Tesla (TSLA),National Vision Holdings Optimizes Debt with Strategic Repurchase,NaN,NaN,NaN
"Truist Financial Reaffirms Their Buy Rating on CARGO Therapeutics, Inc. (CRGX)",CARGO Therapeutics Inc trading resumes,"CARGO Therapeutics Inc trading halted, volatility trading pause",Cargo Therapeutics price target lowered to $34 from $37 at Piper Sandler,CARGO Therapeutics: Strong Buy on Robust Financials and Promising Clinical Trials
Monro Muffler (MNRO) Receives a Rating Update from a Top Analyst,NaN,NaN,NaN,NaN
Shenandoah Telecom Announces Executive Resignation and Succession,NaN,NaN,NaN,NaN
Castle Biosciences: New study shows DecisionDx-SCC test benefits SCC patients,Castle Biosciences management to meet virtually with Lake Street,NaN,NaN,NaN
DXP Enterprises authorizes new buyback of up to $85M of common shares,NaN,NaN,NaN,NaN
Oppenheimer Reaffirms Their Buy Rating on Pliant Therapeutics (PLRX),Pliant Therapeutics to Participate in Upcoming Investor Events,Pliant Therapeutics Announces Four Upcoming Presentations at the European Respiratory Society International Congress 2024,Bullish Outlook on Pliant Therapeutics: Advancing Pipeline and Regulatory Confidence Fuel Buy Rating,Buy Rating Affirmed for Pliant Therapeutics Amid Progress in IPF Treatment Trials
WOOF Upcoming Earnings Report: What to Expect?,NaN,NaN,NaN,NaN
Rapport Therapeutics to Present at Upcoming Epilepsy Medical Conferences,Rapport Therapeutics to Present at 22nd Annual Morgan Stanley Global Healthcare Conference and TD Cowen’s 4th Annual Novel Mechanisms in Neuropsychiatry Summit,NaN,NaN,NaN
ArriVent BioPharma’s Firmonertinib: A Promising Treatment for EGFR PACC Mutations in NSCLC,Corbus Pharmaceuticals appoints Kung to board of directors,Buy Rating Affirmed for ArriVent BioPharma on Strong Clinical Prospects and Financial Stability,ArriVent Biopharma price target raised to $30 from $25 at H.C. Wainwright,Buy Rating Affirmed on ArriVent BioPharma’s Strong Clinical Developments and Strategic Partnerships
Zymeworks Reports Inducement Grant Under Nasdaq Stock Market Rule 5635(c),Zymeworks Appoints New EVP and CFO; Leadership Transition,"Zymeworks Engages Investors, Awaits Drug Approval",Zymeworks Announces Participation in Upcoming Investor Conferences,Buy Rating on Zymeworks Stock Amid Anticipated Zani Approval and Strategic Capital Allocation
First Community Bancshares Secures Top Executive Team Stability,NaN,NaN,NaN,NaN
Embecta management to meet with BTIG,BTIG Reaffirms Their Hold Rating on Embecta Corporation (EMBC),Recommendation to Sell: Anticipated Costs and Competition Challenge Embecta’s New Pump Program,embecta Announces FDA Clearance of its Disposable Patch Pump for Insulin Delivery Informed by the Unique Needs of People with Type 2 Diabetes,Embecta’s disposable pump for insulin delivery cleared by FDA
Buy Rating on Alphatec Holdings Backed by Strong Sales Recruitment and Market Disruption Potential,Steady Outlook with Cautious Stance: Hold Rating on Alphatec Holdings,"Lake Street trims Alphatec price target, says time to ‘buy shares aggressively’",Lake Street Sticks to Their Buy Rating for Alphatec Holdings (ATEC),Alphatec Holdings’ Journey to Free Cash Flow Breakeven by 2025: A Cautiously Optimistic Buy Rating Amid Market Skepticism
Benchmark Co. Keeps Their Buy Rating on Stagwell (STGW),NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
BlackRock TCP downgraded to Underweight from Equal Weight at Wells Fargo,BlackRock TCP Capital Showcases Strong Portfolio Management,Hold Rating on BlackRock TCP Capital Amidst Credit Challenges and Merger Instability,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
Standard BioTools Outlines Strategic Vision and Financial Goals,Standard BioTools Introduces New Executive Severance Plan,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
Allegiant’s Executive Resignation and Compensatory Agreement,Allegiant announces resignation of Chief Marketing Officer Scott DeAngelo,Allegiant Travel reports July 2024 total system traffic up 1.8% year-over-year,Allegiant Travel price target lowered to $40 from $55 at Susquehanna,NaN
Macquarie sees upside for ad tech companies if Alphabet loses court battle,"Analysts Offer Insights on Technology Companies: Calix (CALX), Workday (WDAY) and PubMatic (PUBM)",PubMatic price target lowered to $23 from $26 at RBC Capital,KeyBanc Sticks to Its Hold Rating for PubMatic (PUBM),PubMatic price target lowered to $26 from $30 at RBC Capital
NaN,NaN,NaN,NaN,NaN
Piper Sandler Reaffirms Their Buy Rating on OrthoPediatrics (KIDS),"OrthoPediatrics has underappreciated ‘value creator,’ says Piper Sandler","OrthoPediatrics Corp. to Host Investor Day on September 12, 2024",OrthoPediatrics Enhances Investor Relations with Strategic Presentations,NaN
NaN,NaN,NaN,NaN,NaN
4DMT to Participate in the 2024 Cantor Global Healthcare Conference,4D Molecular to host 4D-150 Wet AMD Development Day,"Analysts Have Conflicting Sentiments on These Healthcare Companies: Doximity (DOCS), 4D Molecular Therapeutics (FDMT) and Cullinan Management (CGEM)",4DMT to Participate in the H.C. Wainwright 4th Annual Ophthalmology Virtual Conference,"Analysts Conflicted on These Healthcare Names: Senseonics Holdings (SENS), PepGen Inc. (PEPG) and 4D Molecular Therapeutics (FDMT)"
Erasca Inc. Poised for Growth: Buy Rating Maintained Amidst Promising Trial Updates and Solid Financials,Morgan Stanley Keeps Their Buy Rating on Erasca (ERAS),Erasca’s Innovative Melanoma Treatments Prompt Buy Rating,Erasca price target raised to $6 from $5 at H.C. Wainwright,"Erasca, Inc.: A Strong Buy on Robust Pipeline and Promising Clinical Data"
NaN,NaN,NaN,NaN,NaN
Morgan Stanley Sticks to Their Hold Rating for Exscientia Plc (EXAI),Exscientia Plc Backs Acquisition by Recursion Pharmaceuticals,Morgan Stanley Remains a Hold on Exscientia Plc (EXAI),Maintaining Hold Rating on Exscientia Plc Amid Anticipated Developments and Clinical Milestones,Exscientia’s Strategic Merger and Pipeline Progress
"U.S. airlines cool hiring after adding 194,000 employees in post-Covid spree",5 things to know before the stock market opens Friday,Where are low-cost airlines cutting back now? New planes,Frontier Group Holdings: Hold Rating Amidst Transformation and Mixed Performance,Frontier Group price target lowered to $6 from $7 at Barclays
International General Insurance Reports Growth,IGI Holdings Announces AGM Outcomes,"IGI Announces Dividend, Boasts Strong Ratings",NaN,NaN
TechTarget price target lowered to $34 from $39 at Raymond James,TechTarget price target lowered to $38 from $40 at KeyBanc,TechTarget (TTGT) Receives a Buy from KeyBanc,TechTarget price target lowered to $38 from $39 at Lake Street,"Analysts Offer Insights on Communication Services Companies: Paramount Global Class B (PARA), TechTarget (TTGT) and Take-Two (TTWO)"
KeyBanc Keeps Their Buy Rating on AbCellera Biologics (ABCL),AbCellera downgraded to Hold from Buy at Benchmark,NaN,NaN,NaN
Abacus Life price target raised to $16 from $15 at B. Riley,"Abacus Life, Lorisco Life announce launch of PREADISAN",Abacus Life and Lorisco Life Announce Launch of PREADISAN™ to Improve Health Predictions,Abacus Life (ABL) Gets a Buy from Piper Sandler,"Abacus Life reports Q2 adjusted EPS 18c, consensus 13c"
"Lightning Round: Ring the register on AST SpaceMobile, says Jim Cramer",Cramer’s Lightning Round: Flutter is a buy,Liquidia to Present at Upcoming Investor Conferences,Biotech Alert: Searches spiking for these stocks today,Buy Rating Affirmed: Liquidia Technologies’ Proactive Legal Strategies and Favorable Outlook
NaN,NaN,NaN,NaN,NaN
"This common credit score myth could hurt your score, says FICO expert",NaN,NaN,NaN,NaN
Repay Holdings (RPAY) Receives a Hold from KBW,Repay Holdings (RPAY) Receives a Hold from Morgan Stanley,Benchmark Co. Remains a Buy on Repay Holdings (RPAY),Repay Holdings price target lowered to $11 from $12 at Barclays,Repay Holdings (RPAY) Gets a Buy from Northland Securities
NaN,NaN,NaN,NaN,NaN
Engaged Capital might have the recipe to build value at Portillo’s,"Engaged Capital has big stake in Portillo’s, pushes for turnaround, sources say",Portillo’s Inc. to Participate in September Investor Conference,"Are You Salty, Spiced or Sweet? Portillo’s New Salted Caramel Spice Cake Has it All",Closing Bell Movers: H&R Block jumps 10% after earnings beat
Silence Therapeutics: Strong Buy on Underappreciated Blockbuster Potential and Clinical Advancements,"Analysts Offer Insights on Healthcare Companies: Silence Therapeutics (SLN), Pharvaris (PHVS) and Stevanato Group (STVN)",Morgan Stanley Reaffirms Their Buy Rating on Silence Therapeutics (SLN),Buy Rating for Silence Therapeutics Backed by Promising Pipeline and Strategic Partnership Potential,Buy Rating Affirmed for Silence Therapeutics Amid Strong Pipeline Progress and Strategic Partnerships
Kura Sushi USA to Participate in Two Investor Conferences in September,NaN,NaN,NaN,NaN
"These five stocks are best positioned for growth, Goldman Sachs says",BJ’s Restaurants Welcomes Lyle Tick as New President,BJ’s Restaurants appoints Lyle Tick as President and Chief Concept Officer,"BJ’s Restaurants, Inc. Announces Appointment of President & Chief Concept Officer",Setyan Endorses BJ’s Restaurants with a Buy Rating Amidst Leadership Changes and Strategic Growth Initiatives
Stifel Nicolaus Reaffirms Their Buy Rating on Westrock Coffee (WEST),Westrock Coffee Company Commences Warrant Exchange Offer and Consent Solicitation,"Westrock Coffee commences warrant exchange offer, consent solicitation",Telsey Advisory Keeps Their Buy Rating on Westrock Coffee (WEST),Stifel Nicolaus Keeps Their Buy Rating on Westrock Coffee (WEST)
Trinity Capital provides $20M in growth capital to Kymeta,Trinity Capital provides $50M in capital to LightForce,Trinity Capital commits $35M in equipment financing to ApiJect,Analysts’ Opinions Are Mixed on These Financial Stocks: Trinity Capital (TRIN) and American International Group (AIG),Trinity Capital: A Balanced View on Stability and Growth Risks
NaN,NaN,NaN,NaN,NaN
Latham Takes the Plunge With L.C. Williams & Associates,"Latham Group, Inc. to Participate at Upcoming Conference",Latham Group price target raised to $6 from $3 at Barclays,Latham Group (SWIM) Receives a Rating Update from a Top Analyst,NaN
Critical Metals commences drilling at Tanbreez rare earth deposit,Critical Metals Corp. Has Commenced Drilling at the Tanbreez Rare Earth Deposit,NaN,NaN,NaN
Mesoblast Limited (MEOBF) was upgraded to a Buy Rating at Jefferies,Bell Potter Sticks to Their Buy Rating for Mesoblast Limited (MEOBF),Mesoblast Nears Major FDA Approvals and Advances Trials,Mesoblast Reports Year-End Financials and Outlook,Mesoblast Limited Files Annual SEC Report
Why 90% of the U.S. avocado supply comes from Mexico,Why most of the avocados in the U.S. come from Mexico,AVO Earnings this Week: How Will it Perform?,NaN,NaN
NaN,NaN,NaN,NaN,NaN
Service Properties files automatic mixed securities shelf,Service Properties price target lowered to $8 from $9 at B. Riley,NaN,NaN,NaN
Piper Sandler Reaffirms Their Buy Rating on Cytek Biosciences (CTKB),Cytek® Biosciences Achieves ISO 13485 Certification at San Diego Reagent Manufacturing Facility,Cytek Biosciences (CTKB) Receives a Buy from Piper Sandler,Cytek Biosciences price target lowered to $8 from $8.50 at Piper Sandler,Cytek Biosciences: Hold Rating Amidst Mixed Performance and Cautious U.S. Market Outlook
CureVac (CVAC) Receives a Hold from Deutsche Bank,"Analysts Offer Insights on Healthcare Companies: CureVac (CVAC), Vericel (VCEL) and Twist Bioscience (TWST)",CureVac price target lowered to $16 from $18 at JMP Securities,CureVac: A Promising Buy Amidst Financial Stability and Innovative Vaccine Pipeline,CureVac Secures Lucrative GSK Deal and Refocuses Business
Biotech Alert: Searches spiking for these stocks today,Buy Rating Affirmed for Mereo Biopharma on Strong Financials and Promising Pipeline Progress,Buy Rating Affirmed for Mereo Biopharma on Strong Clinical and Financial Prospects,Mereo Biopharma Group: A Strong Buy on Promising Clinical Data and Robust Financials,Mereo BioPharma reports Q2 EPS (2c) vs 0c last year
"Scholar Rock appoints Beth Shafer, Ph.D. Chief Business Officer","Analysts Have Conflicting Sentiments on These Healthcare Companies: Collegium Pharmaceutical (COLL), Scholar Rock Holding (SRRK) and Iovance Biotherapeutics (IOVA)",Buy Rating Justified by Scholar Rock’s Promising Drug Trials and Market Potential,Scholar Rock price target raised to $34 from $31 at BMO Capital,NaN
New Launch: The all-new 2025 Malibu M230,Buy Rating Affirmed for Malibu Boats Amid Prudent Guidance and Strategic Management Initiatives,Truist Financial Sticks to Its Hold Rating for Malibu Boats (MBUU),Malibu Boats: Maintaining Hold Rating Amidst Adjusted Inventories and Cautious Fiscal Outlook,Malibu Boats sees FY25 net sales increase in low single digits year-over-year
Piper Sandler Sticks to Their Buy Rating for Old Second Bancorp (OSBC),Old Second Bancorp Acquires First Merchants Bank Branches,Old Second Bancorp to purchase five Illinois branches from First Merchants,NaN,NaN
Buy Rating Affirmed for Kelly Services Amid Strong Financials and Strategic Growth Initiatives,Kelly Services (KELYA) Receives a Buy from Noble Financial,NaN,NaN,NaN
Simulations Plus Announces Leadership Shake-Up and Strategy,NaN,NaN,NaN,NaN
Roth MKM Reaffirms Their Buy Rating on Limbach Holdings (LMB),Limbach Holdings Expands with Kent Island Mechanical Buyout,Limbach Holding acquires Kent Island Mechanical,NaN,NaN
Stoke Therapeutics appoints Eric Olson Chief Business Officer.,Buy Rating for Stoke Therapeutics: FDA Progress and Strong Financials Underpin Future Potential,NaN,NaN,NaN
Abivax SA (0RA9) Gets a Buy from Kepler Capital,NaN,NaN,NaN,NaN
Buy Rating Affirmed for Kelly Services Amid Strong Financials and Strategic Growth Initiatives,Kelly Services (KELYA) Receives a Buy from Noble Financial,NaN,NaN,NaN
"Illumina upgraded, Fiserv initiated: Wall Street’s top analyst calls",Wells Fargo starts tools and diagnostics group with positive bias,Mesa Labs initiated with an Underweight at Wells Fargo,NaN,NaN
Biotech Alert: Searches spiking for these stocks today,Arbutus Biopharma price target raised to $7 from $5 at Jefferies,Buy Rating Affirmed for Arbutus Biopharma Amid Positive Legal and Clinical Developments,Arbutus to Participate in Two Upcoming Investor Conferences,NaN
Daktronics reports Q1 revenue (11c) vs. 42c last year,Daktronics expects seasonality to ‘continue to normalize’ in FY25,Daktronics (DAKT) Q1 Earnings Cheat Sheet,"Daktronics, Inc. to Release First Quarter Fiscal 2025 Financial Results",NaN
"Indie Semiconductor Executives Slash Salaries, Streamline Workforce",Indie Semiconductor management to meet virtually with Benchmark,Indie Semiconductor price target lowered to $7 from $9 at Deutsche Bank,Roth MKM Reaffirms Their Buy Rating on indie Semiconductor (INDI),Indie Semiconductor price target lowered to $7 from $10 at Roth MKM
"ARKO Corp. Opens New Handy Mart Store in Newport, North Carolina",NaN,NaN,NaN,NaN
Analysts Offer Insights on Consumer Goods Companies: US Foods Holding (USFD) and SunOpta (STKL),NaN,NaN,NaN,NaN
"Analysts Offer Insights on Energy Companies: Clean Energy Fuels (CLNE), Crew Energy (OtherCWEGF) and Plains All American (PAA)",NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
"Willis Lease names Amy Ruddock SVP, sustainable aviation, corporate development","Willis Lease Finance Corporation Appoints Amy Ruddock as Senior Vice President, Sustainable Aviation & Corporate Development",NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
Buy Rating Backed by Molbreevi’s Promising Trial Results and Market Potential for aPAP Treatment,Evercore ISI Reaffirms Their Buy Rating on Savara (SVRA),Buy Rating Affirmed for Savara on Molbreevi’s Commercial Promise and Solid Financial Footing,"Savara reports Q2 EPS (12c), consensus (11c)",NaN
