Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date,Symbol,Company Name,Market Cap,Stock Price,Revenue,MA20,MA50,MA200,20-Day Percent Change,100-Day Percent Change,News1,News2,News3,News4,News5,combined_news,sentiment,Sentiment_News1,Sentiment_News2,Sentiment_News3,Sentiment_News4,Sentiment_News5
14.79M,"28,645",48.44M,$1.00,267,31.44,,,"Oct 2, 2024",SVCO,"Silvaco Group, Inc.",430.17M,16.36,58.28M,1.13%,-7.22%,-8.77%,-9.42%,,,,,,,,1,-1,-1,-1,-1,-1
11.13M,"94,322",36.00M,$0.60,556,41.62,,,"Aug 1, 2024",KRNY,Kearny Financial Corp.,429.46M,6.88,134.38M,5.30%,7.62%,1.12%,-5.83%,+10.06%,,,,,,,0,-1,-1,-1,-1,-1
47.48M,"203,392",-25.52M,-1,"3,064",9.75,Strong Buy,12.00,"Aug 7, 2024",CVGW,"Calavo Growers, Inc.",429.16M,24.11,992.90M,3.78%,3.33%,-8.25%,-1.68%,-8.56%,Why most of the avocados in the U.S. come from Mexico,Calavo Growers (CVGW) Q3 Earnings Cheat Sheet,Calavo Growers (CVGW) Gets a Buy from Lake Street,Calavo Growers to Report Third Quarter Financial Results,Calavo Growers Streamlines Operations and Amends Credit Terms,Why most of the avocados in the U.S. come from Mexico Calavo Growers (CVGW) Q3 Earnings Cheat Sheet Calavo Growers (CVGW) Gets a Buy from Lake Street Calavo Growers to Report Third Quarter Financial Results Calavo Growers Streamlines Operations and Amends Credit Terms,0,0,0,0,0,0
69.34M,"936,903",-107.87M,-1,377,6.64,Buy,9.29,"Aug 1, 2024",XERS,"Xeris Biopharma Holdings, Inc.",429.12M,2.88,181.41M,14.22%,21.06%,27.64%,+12.50%,+36.76%,Buy Rating Affirmed: Xeris Pharmaceuticals Outperforms with Strong Sales and Promising Pipeline,"Analysts Offer Insights on Healthcare Companies: Xeris Pharmaceuticals (XERS), Aldeyra Therapeutics (ALDX) and Immunic (IMUX)",Oppenheimer Reaffirms Their Buy Rating on Xeris Pharmaceuticals (XERS),Xeris Biopharma price target raised to $5 from $4.50 at Craig-Hallum,,"Buy Rating Affirmed: Xeris Pharmaceuticals Outperforms with Strong Sales and Promising Pipeline Analysts Offer Insights on Healthcare Companies: Xeris Pharmaceuticals (XERS), Aldeyra Therapeutics (ALDX) and Immunic (IMUX) Oppenheimer Reaffirms Their Buy Rating on Xeris Pharmaceuticals (XERS) Xeris Biopharma price target raised to $5 from $4.50 at Craig-Hallum",1,0,0,0,0,-1
44.10M,"529,444",58.18M,-1,293,10.43,Sell,11.00,"Aug 9, 2024",CWCO,Consolidated Water Co. Ltd.,426.90M,26.96,175.27M,2.95%,4.68%,-4.67%,-5.16%,+5.63%,Consolidated Water increases dividend and declares Q4 11c cash dividend,Consolidated Water Increases Dividend and Declares Fourth Quarter Cash Dividend of $0.11 per Share,"Cisco, Walmart report quarterly earnings beats: Morning Buzz","Consolidated Water reports Q2 EPS 99c, consensus 34c","Is CWCO a Buy, Before Earnings?","Consolidated Water increases dividend and declares Q4 11c cash dividend Consolidated Water Increases Dividend and Declares Fourth Quarter Cash Dividend of $0.11 per Share Cisco, Walmart report quarterly earnings beats: Morning Buzz Consolidated Water reports Q2 EPS 99c, consensus 34c Is CWCO a Buy, Before Earnings?",0,0,0,1,0,1
105.09M,"287,878",-35.43M,-1,480,4.350,Strong Buy,8.67,"Aug 6, 2024",ALTI,"AlTi Global, Inc.",426.17M,4.64,241.81M,2.28%,-7.67%,-26.53%,-15.92%,-16.43%,Alvarium Tiedemann Issues Updated Investor Presentation,,,,,Alvarium Tiedemann Issues Updated Investor Presentation,1,0,-1,-1,-1,-1
56.24M,"129,191",-57.17M,-1,796,8.10,,,,PACB,"Pacific Biosciences of California, Inc.",425.15M,1.56,188.87M,-9.23%,-8.72%,-65.86%,-34.47%,-59.70%,PacBio announces collaboration with University Hospital of Munster,PacBio price target lowered to $7 from $8 at Scotiabank,Pacific Biosciences (PACB) Receives a Buy from Scotiabank,PacBio to Present at the Morgan Stanley 22nd Annual Global Healthcare Conference,PacBio price target lowered to $2.50 from $3.50 at Stephens,PacBio announces collaboration with University Hospital of Munster PacBio price target lowered to $7 from $8 at Scotiabank Pacific Biosciences (PACB) Receives a Buy from Scotiabank PacBio to Present at the Morgan Stanley 22nd Annual Global Healthcare Conference PacBio price target lowered to $2.50 from $3.50 at Stephens,0,0,1,1,1,0
18.21M,"78,531",-10.17M,-1,69,24.95,Strong Buy,41.08,"Aug 6, 2024",ISPR,Ispire Technology Inc.,424.81M,7.50,147.19M,0.42%,-1.01%,-15.49%,-5.50%,+24.05%,,,,,,,1,-1,-1,-1,-1,-1
12.99M,"47,136",2.36M,-1,532,34.94,Strong Buy,49.00,"Aug 9, 2024",BSRR,Sierra Bancorp,424.42M,29.90,142.35M,5.21%,14.63%,36.95%,+0.58%,+50.98%,,,,,,,0,-1,-1,-1,-1,-1
9.92M,"57,811",25.12M,-1,564,45.76,Strong Buy,45.00,"Jul 31, 2024",FFIC,Flushing Financial Corporation,422.37M,14.53,190.70M,4.90%,3.67%,3.65%,-3.73%,+18.96%,,,,,,,0,-1,-1,-1,-1,-1
24.87M,"131,261",20.49M,-1,20,18.24,Buy,23.80,"Aug 13, 2024",HIVE,HIVE Digital Technologies Ltd.,421.90M,3.63,123.14M,8.20%,0.49%,1.30%,-14.60%,-2.52%,HIVE Digital Boosts Bitcoin Holdings and Mining Efficiency,Hive Digital announces 112 bitcoin produced in August,HIVE Digital Technologies: A Strong Buy on Undervaluation and Growth Prospects in HPC/AI,Hive Digital upgraded to Buy from Neutral at H.C. Wainwright,"Options Volatility and Implied Earnings Moves Today, August 13, 2024","HIVE Digital Boosts Bitcoin Holdings and Mining Efficiency Hive Digital announces 112 bitcoin produced in August HIVE Digital Technologies: A Strong Buy on Undervaluation and Growth Prospects in HPC/AI Hive Digital upgraded to Buy from Neutral at H.C. Wainwright Options Volatility and Implied Earnings Moves Today, August 13, 2024",1,1,0,0,0,0
28.68M,"303,334",-150.29M,-1,"3,353",15.78,Buy,15.00,"Jul 31, 2024",RDUS,"Radius Recycling, Inc.",421.71M,15.04,2.69B,2.83%,-1.15%,-25.50%,-17.00%,-24.72%,,,,,,,0,-1,-1,-1,-1,-1
100.08M,"802,737",-12.44M,-1,559,4.520,Buy,4.65,"Aug 8, 2024",CCSI,"Consensus Cloud Solutions, Inc.",421.26M,21.83,353.96M,13.87%,22.14%,23.94%,+8.64%,+69.40%,"Wednesday’s top analyst calls: Nvidia, Apple, Netflix, Sunrun, Amazon and more","AmEx downgraded, Texas Instruments upgraded: Wall Street’s top analyst calls",Consensus Cloud Solutions upgraded to Buy from Neutral at BTIG,BTIG Sticks to Their Hold Rating for Consensus Cloud Solutions (CCSI),Wedbush Keeps Their Buy Rating on Consensus Cloud Solutions (CCSI),"Wednesday’s top analyst calls: Nvidia, Apple, Netflix, Sunrun, Amazon and more AmEx downgraded, Texas Instruments upgraded: Wall Street’s top analyst calls Consensus Cloud Solutions upgraded to Buy from Neutral at BTIG BTIG Sticks to Their Hold Rating for Consensus Cloud Solutions (CCSI) Wedbush Keeps Their Buy Rating on Consensus Cloud Solutions (CCSI)",0,1,1,0,0,1
77.75M,"492,530",-41.13M,-1,"2,800",5.81,Hold,9.22,"Aug 1, 2024",SENEB,Seneca Foods Corporation,420.61M,57.51,1.46B,,22.14%,23.94%,+3.79%,+88.29%,,,,,,,0,-1,-1,-1,-1,-1
662.81M,"2,921",-161.61M,-1,600,2.900,Buy,16.00,"Sep 3, 2024",RMR,The RMR Group Inc.,420.46M,25.14,191.26M,2.76%,4.67%,3.33%,-2.51%,+8.45%,The RMR Group Highlights Growth and Stability in Real Estate,Oppenheimer Reaffirms Their Hold Rating on The RMR Group (RMR),RMR Group announces early renewal of Vertex Pharmaceuticals lease,,,The RMR Group Highlights Growth and Stability in Real Estate Oppenheimer Reaffirms Their Hold Rating on The RMR Group (RMR) RMR Group announces early renewal of Vertex Pharmaceuticals lease,1,1,0,0,-1,-1
204.94M,"1,132,490",-114.34M,-1,"2,800",2.200,Strong Buy,6.22,"Aug 12, 2024",SENEA,Seneca Foods Corporation,419.37M,60.50,1.46B,-0.47%,0.10%,7.89%,-0.23%,+7.94%,,,,,,,1,-1,-1,-1,-1,-1
106.83M,"4,037,740",-42.25M,-1,102,4.210,Buy,4.63,"Aug 1, 2024",KRRO,"Korro Bio, Inc.",419.28M,45.09,-,20.06%,19.52%,-2.80%,+7.35%,-26.10%,Korro Bio Board Changes and Strategic Advisor Agreement,Korro Bio appoints Katharine Knobil to board of directors,Korro to Participate in Upcoming September Investor and Scientific Conferences,Analysts Offer Insights on Healthcare Companies: Korro Bio (KRRO) and Gilead Sciences (GILD),"Starbucks, Chipotle upgraded: Wall Street’s top analyst calls","Korro Bio Board Changes and Strategic Advisor Agreement Korro Bio appoints Katharine Knobil to board of directors Korro to Participate in Upcoming September Investor and Scientific Conferences Analysts Offer Insights on Healthcare Companies: Korro Bio (KRRO) and Gilead Sciences (GILD) Starbucks, Chipotle upgraded: Wall Street’s top analyst calls",1,1,1,0,0,1
36.28M,"144,100",24.15M,-1,"3,508",12.30,Buy,14.67,"Aug 1, 2024",MERC,Mercer International Inc.,419.15M,6.27,1.99B,-7.56%,-20.20%,-32.07%,-22.57%,-41.35%,Mercer International Inc. to Present at Upcoming Jefferies 2024 Industrials Conference,CIBC Sticks to Their Hold Rating for Mercer International (MERC),Mercer price target lowered to $8.50 from $10 at CIBC,Mercer price target lowered to $8 from $10 at RBC Capital,RBC Capital Keeps Their Hold Rating on Mercer International (MERC),Mercer International Inc. to Present at Upcoming Jefferies 2024 Industrials Conference CIBC Sticks to Their Hold Rating for Mercer International (MERC) Mercer price target lowered to $8.50 from $10 at CIBC Mercer price target lowered to $8 from $10 at RBC Capital RBC Capital Keeps Their Hold Rating on Mercer International (MERC),1,0,0,0,0,0
43.13M,"12,119",7.69M,-1,255,10.33,,,,VERV,"Verve Therapeutics, Inc.",418.05M,4.94,20.65M,2.35%,-5.13%,-42.17%,-16.14%,-31.10%,Verve Therapeutics’ (VERV) Gene-Editing Therapies Could Be a Game Changer,Verve Therapeutics Announces Inducement Grants under Nasdaq Listing Rule 5635(c)(4),"Levi & Korsinsky LLP Notifies Shareholders of Verve Therapeutics, Inc.(VERV) of a Class Action Lawsuit and an Upcoming Deadline",Verve Therapeutics price target lowered to $29 from $30 at Canaccord,Buy Rating Affirmed for Verve Therapeutics Amidst Clinical Progress and Strong Financials,"Verve Therapeutics’ (VERV) Gene-Editing Therapies Could Be a Game Changer Verve Therapeutics Announces Inducement Grants under Nasdaq Listing Rule 5635(c)(4) Levi & Korsinsky LLP Notifies Shareholders of Verve Therapeutics, Inc.(VERV) of a Class Action Lawsuit and an Upcoming Deadline Verve Therapeutics price target lowered to $29 from $30 at Canaccord Buy Rating Affirmed for Verve Therapeutics Amidst Clinical Progress and Strong Financials",1,0,0,1,0,1
,,,-1,420,,,,,PERI,Perion Network Ltd.,417.40M,8.62,686.05M,1.18%,0.78%,-53.67%,-3.88%,-60.07%,Perion Network Sets Annual Shareholder Meeting,,,,,Perion Network Sets Annual Shareholder Meeting,1,0,-1,-1,-1,-1
6.95M,"22,372",65.29M,-1,"3,778",64.15,,,"Aug 9, 2024",RICK,"RCI Hospitality Holdings, Inc.",416.90M,46.34,297.62M,2.84%,4.49%,-12.18%,-6.59%,-15.52%,RCI Hospitality Holdings (RICK) Declares Q3 Dividend: Important Details for Shareholders,RCI Increases Quarterly Cash Dividend by 16.7%,RCI Hospitality Holdings: Strong Buy on Revenue Growth and Strategic Acquisitions,,,RCI Hospitality Holdings (RICK) Declares Q3 Dividend: Important Details for Shareholders RCI Increases Quarterly Cash Dividend by 16.7% RCI Hospitality Holdings: Strong Buy on Revenue Growth and Strategic Acquisitions,0,0,0,1,-1,-1
19.78M,"59,619",7.09M,$0.80,571,22.48,Hold,23.33,"Jul 24, 2024",ITIC,Investors Title Company,416.71M,221.20,233.77M,6.31%,14.77%,33.16%,+5.02%,+39.79%,,,,,,,0,-1,-1,-1,-1,-1
55.33M,"150,100",-86.45M,-1,,8.01,Buy,14.75,"Aug 8, 2024",SDST,Stardust Power Inc.,414.09M,8.86,-,-20.45%,-24.69%,-21.15%,-40.87%,-20.56%,Stardust Power selects Primero USA to complete engineering study,Stardust Power Selects Primero USA to complete Definitive Engineering Study,,,,Stardust Power selects Primero USA to complete engineering study Stardust Power Selects Primero USA to complete Definitive Engineering Study,0,0,0,-1,-1,-1
2.75M,"23,895",41.23M,$6.00,"2,280",160.96,,,"Jul 31, 2024",CRMT,"America's Car-Mart, Inc.",413.90M,62.51,1.39B,2.89%,1.03%,-2.13%,-11.54%,+3.78%,"America’s Car-Mart reports Q1 EPS 63c, consensus 66c","America’s Car-Mart, Inc. (CRMT) Q1 Earnings Cheat Sheet",America’s Car-Mart Shareholders Back Incentive Plan and Governance,Jefferies Sticks to Its Hold Rating for America’s Car-Mart (CRMT),America’s Car-Mart assumed with a Hold at Jefferies,"America’s Car-Mart reports Q1 EPS 63c, consensus 66c America’s Car-Mart, Inc. (CRMT) Q1 Earnings Cheat Sheet America’s Car-Mart Shareholders Back Incentive Plan and Governance Jefferies Sticks to Its Hold Rating for America’s Car-Mart (CRMT) America’s Car-Mart assumed with a Hold at Jefferies",1,1,1,1,1,1
78.97M,"388,833",-562.92M,$0.36,"1,050",5.59,Buy,7.00,"Aug 5, 2024",RWAY,Runway Growth Finance Corp.,412.84M,10.71,157.21M,-0.97%,-5.23%,-11.52%,-10.98%,-14.45%,Runway Growth Finance upgraded to Buy from Neutral at Compass Point,J.P. Morgan Reaffirms Their Hold Rating on Runway Growth Finance Corp (RWAY),Runway Growth Finance price target lowered to $11 from $12 at Wells Fargo,Runway Growth Finance Corp.: Equal Weight Rating Amidst NOI Decline and Leverage Challenges,Compass Point Reaffirms Their Hold Rating on Runway Growth Finance Corp (RWAY),Runway Growth Finance upgraded to Buy from Neutral at Compass Point J.P. Morgan Reaffirms Their Hold Rating on Runway Growth Finance Corp (RWAY) Runway Growth Finance price target lowered to $11 from $12 at Wells Fargo Runway Growth Finance Corp.: Equal Weight Rating Amidst NOI Decline and Leverage Challenges Compass Point Reaffirms Their Hold Rating on Runway Growth Finance Corp (RWAY),1,1,1,1,1,1
60.47M,"421,985",-86.45M,-1,164,7.27,Buy,11.55,"Aug 7, 2024",NNOX,Nano-X Imaging Ltd.,411.82M,7.04,10.13M,-9.14%,-11.64%,-16.12%,-27.61%,-40.91%,Largest borrow rate increases among liquid names,"Nanox Receives FDA Clearance for HealthCCSng V2.0, Upgraded Version of Advanced AI Cardiac Solution Empowering Physicians in Assessment of Coronary Artery Calcium",Nano-X Imaging receives FDA clearance for HealthCCSng V2.0,"Nano-X Imaging reports Q2 EPS (23c), consensus (22c)","Options Volatility and Implied Earnings Moves Today, August 20, 2024","Largest borrow rate increases among liquid names Nanox Receives FDA Clearance for HealthCCSng V2.0, Upgraded Version of Advanced AI Cardiac Solution Empowering Physicians in Assessment of Coronary Artery Calcium Nano-X Imaging receives FDA clearance for HealthCCSng V2.0 Nano-X Imaging reports Q2 EPS (23c), consensus (22c) Options Volatility and Implied Earnings Moves Today, August 20, 2024",1,1,0,0,1,1
65.04M,"1,954,260",-314.44M,-1,302,6.74,Sell,5.07,"Aug 7, 2024",STRO,"Sutro Biopharma, Inc.",410.64M,5.01,169.36M,22.48%,30.26%,22.05%,+18.39%,-3.69%,Sutro Biopharma’s Promising Oncology Prospects and Solid Financials Merit a Buy Rating,Sutro Biopharma announces initiation of REFRalphaME-L1 Phase 2 trial,Sutro Biopharma price target lowered to $15 from $18 at Truist,Truist Financial Sticks to Their Buy Rating for Sutro Biopharma (STRO),Sutro Biopharma’s Strong Financials and Clinical Progress Reinforce Buy Rating,Sutro Biopharma’s Promising Oncology Prospects and Solid Financials Merit a Buy Rating Sutro Biopharma announces initiation of REFRalphaME-L1 Phase 2 trial Sutro Biopharma price target lowered to $15 from $18 at Truist Truist Financial Sticks to Their Buy Rating for Sutro Biopharma (STRO) Sutro Biopharma’s Strong Financials and Clinical Progress Reinforce Buy Rating,0,0,0,0,0,0
49.41M,"717,455",-180.54M,-1,257,8.86,Buy,12.50,"Aug 6, 2024",LMNR,Limoneira Company,409.39M,22.73,178.27M,17.40%,18.59%,28.44%,+12.30%,+26.66%,LMNR Upcoming Earnings Report: What to Expect?,Lake Street Sticks to Their Buy Rating for Limoneira Co (LMNR),Limoneira price target raised to $28 from $24 at B. Riley,Limoneira Co Incentivizes Executives for Successful Company Sale,,LMNR Upcoming Earnings Report: What to Expect? Lake Street Sticks to Their Buy Rating for Limoneira Co (LMNR) Limoneira price target raised to $28 from $24 at B. Riley Limoneira Co Incentivizes Executives for Successful Company Sale,0,1,0,0,0,-1
113.88M,"728,217",-175.72M,-1,376,3.840,Hold,6.55,"Aug 13, 2024",RBB,RBB Bancorp,409.15M,22.98,117.60M,3.08%,9.67%,23.05%,-1.34%,+30.36%,Piper Sandler Keeps Their Hold Rating on Rbb Bancorp (RBB),KBW Gives a Hold Rating to Rbb Bancorp (RBB),RBB Bancorp announces termination of consent order,RBB Bancorp Announces Termination of Consent Order,,Piper Sandler Keeps Their Hold Rating on Rbb Bancorp (RBB) KBW Gives a Hold Rating to Rbb Bancorp (RBB) RBB Bancorp announces termination of consent order RBB Bancorp Announces Termination of Consent Order,1,0,1,0,0,-1
146.74M,"167,283",-15.07M,-1,754,2.970,,,"Aug 12, 2024",APPS,"Digital Turbine, Inc.",409.05M,3.98,516.11M,21.40%,57.10%,5.56%,+46.64%,+60.83%,Largest borrow rate increases among liquid names,Digital Turbine Shareholders Approve Equity Plan and Elect Directors,"Analysts Conflicted on These Technology Names: Kenvue, Inc. (KVUE), Super Micro Computer (SMCI) and Digital Turbine (APPS)",,,"Largest borrow rate increases among liquid names Digital Turbine Shareholders Approve Equity Plan and Elect Directors Analysts Conflicted on These Technology Names: Kenvue, Inc. (KVUE), Super Micro Computer (SMCI) and Digital Turbine (APPS)",1,1,0,1,-1,-1
46.20M,"482,720",-6.74M,-1,"2,530",9.43,Strong Buy,13.00,"Aug 8, 2024",PTSI,"P.A.M. Transportation Services, Inc.",408.00M,18.74,747.21M,-0.85%,-1.72%,-2.76%,-9.02%,+21.72%,,,,,,,1,-1,-1,-1,-1,-1
28.11M,"90,101",24.98M,$0.20,"4,362",15.34,Strong Buy,20.33,"Aug 15, 2024",LOCO,"El Pollo Loco Holdings, Inc.",407.62M,13.62,470.98M,8.83%,16.49%,38.93%,+14.05%,+50.66%,El Pollo Loco Taps Content Creator Yuri Lamasbella as New Kreative Director for its Double Chopped Salads Campaign,,,,,El Pollo Loco Taps Content Creator Yuri Lamasbella as New Kreative Director for its Double Chopped Salads Campaign,0,0,-1,-1,-1,-1
185.30M,"527,309",-24.06M,-1,365,2.330,Buy,3.25,"Aug 1, 2024",CLMB,"Climb Global Solutions, Inc.",406.73M,91.12,369.74M,16.06%,33.72%,51.89%,+29.56%,+34.57%,Climb Global Solutions: A Strong Buy on Strategic Positioning and Growth Potential,Climb Channel Solutions Announces the Launch of MSP360 Partnership in North America,Climb Channel Solutions announce launch of MSP360 partnership,Climb Global Solutions: A Strong Buy on Robust Financial Performance and Strategic Acquisitions,Climb Global price target raised to $90 from $68 at Barrington,Climb Global Solutions: A Strong Buy on Strategic Positioning and Growth Potential Climb Channel Solutions Announces the Launch of MSP360 Partnership in North America Climb Channel Solutions announce launch of MSP360 partnership Climb Global Solutions: A Strong Buy on Robust Financial Performance and Strategic Acquisitions Climb Global price target raised to $90 from $68 at Barrington,0,1,0,0,0,0
29.56M,"1,021,411",33.16M,-1,135,14.59,Hold,12.00,"Oct 3, 2024",AQST,"Aquestive Therapeutics, Inc.",406.13M,4.46,58.36M,19.47%,43.34%,49.23%,+18.49%,+10.98%,Aquestive Therapeutics to Participate in Two Upcoming Investor Conferences,Aquestive Therapeutics reiterates expected timing for NDA filing of Anaphylm,Aquestive Therapeutics Comments on Recent FDA Approval of Non-Injection-Based Epinephrine Product for the Treatment of Anaphylaxis and Reiterates Expected Timing for NDA Filing of Anaphylm™,Buy Rating Affirmed for Aquestive Therapeutics as Anaphylm™ Poised to Transform Epinephrine Market,Aquestive Therapeutics (AQST) Gets a Buy from Lake Street,Aquestive Therapeutics to Participate in Two Upcoming Investor Conferences Aquestive Therapeutics reiterates expected timing for NDA filing of Anaphylm Aquestive Therapeutics Comments on Recent FDA Approval of Non-Injection-Based Epinephrine Product for the Treatment of Anaphylaxis and Reiterates Expected Timing for NDA Filing of Anaphylm™ Buy Rating Affirmed for Aquestive Therapeutics as Anaphylm™ Poised to Transform Epinephrine Market Aquestive Therapeutics (AQST) Gets a Buy from Lake Street,1,0,1,0,0,0
26.29M,"130,341",-37.81M,-1,54,16.36,Strong Buy,25.83,"Aug 7, 2024",NVEC,NVE Corporation,406.03M,84.00,27.76M,2.74%,6.53%,6.35%,-8.29%,-3.91%,,,,,,,1,-1,-1,-1,-1,-1
62.42M,"401,484",-86.67M,$0.44,,6.88,Hold,7.00,"Jul 25, 2024",NETD,Nabors Energy Transition Corp. II,405.27M,10.63,-,0.02%,0.38%,1.53%,+0.14%,+1.68%,,,,,,,1,-1,-1,-1,-1,-1
17.80M,"115,255",-1.49M,$0.40,44,24.11,Buy,38.50,"Sep 4, 2024",TRML,"Tourmaline Bio, Inc.",404.88M,15.79,-,12.19%,12.89%,-24.97%,+4.27%,-22.16%,Tourmaline Bio Showcases Promising Candidate in Updated Presentation,Tourmaline Bio (TRML) Receives a Buy from Piper Sandler,Tourmaline Bio to Present at Upcoming Investor Conferences,"Analysts Offer Insights on Healthcare Companies: Tourmaline Bio (TRML), Amicus (FOLD) and Kura Oncology (KURA)",Tourmaline Bio price target lowered to $15 from $18 at Truist,"Tourmaline Bio Showcases Promising Candidate in Updated Presentation Tourmaline Bio (TRML) Receives a Buy from Piper Sandler Tourmaline Bio to Present at Upcoming Investor Conferences Analysts Offer Insights on Healthcare Companies: Tourmaline Bio (TRML), Amicus (FOLD) and Kura Oncology (KURA) Tourmaline Bio price target lowered to $15 from $18 at Truist",0,0,0,0,0,0
149.00M,"912,736",-59.56M,-1,28,2.880,Strong Buy,4.63,"Aug 8, 2024",IPX,IperionX Limited,403.97M,15.82,-,6.99%,7.81%,20.73%,+13.36%,+15.00%,IPX Stock trading resumes,"IPX Stock trading halted, volatility trading pause",,,,"IPX Stock trading resumes IPX Stock trading halted, volatility trading pause",0,0,0,-1,-1,-1
15.83M,"58,728",40.76M,$0.38,,26.96,,,"Aug 14, 2024",WALD,Waldencast plc,403.42M,3.29,218.14M,1.34%,-12.26%,-53.92%,-2.55%,-52.34%,Waldencast Acquisition (WALD) Gets a Buy from D.A. Davidson,Waldencast price target raised to $7.25 from $6.50 at DA Davidson,Telsey Advisory Remains a Buy on Waldencast Acquisition (WALD),Waldencast Targets Growth in Beauty Sector,Waldencast Unveils Post-Acquisition Financials,Waldencast Acquisition (WALD) Gets a Buy from D.A. Davidson Waldencast price target raised to $7.25 from $6.50 at DA Davidson Telsey Advisory Remains a Buy on Waldencast Acquisition (WALD) Waldencast Targets Growth in Beauty Sector Waldencast Unveils Post-Acquisition Financials,1,0,0,1,1,1
91.85M,"129,000",-125.58M,-1,11,4.640,Strong Buy,9.00,"Aug 9, 2024",ELYM,"Eliem Therapeutics, Inc.",402.36M,6.00,-,-8.29%,-15.36%,26.24%,-25.21%,+138.46%,Eliem Therapeutics: Executive Changes Amid Strategic Shift,Eliem Therapeutics Names Brett Kaplan as New COO,"Eliem Therapeutics appoints Kaplan as COO, Rampal as SVP, Clinical Development",,,"Eliem Therapeutics: Executive Changes Amid Strategic Shift Eliem Therapeutics Names Brett Kaplan as New COO Eliem Therapeutics appoints Kaplan as COO, Rampal as SVP, Clinical Development",0,1,1,1,-1,-1
272.53M,"5,785,736",-400.38M,-1,122,1.560,Buy,4.64,"Aug 7, 2024",VALU,"Value Line, Inc.",402.15M,42.70,37.49M,-1.10%,-3.13%,-0.29%,-13.59%,+6.55%,,,,,,,0,-1,-1,-1,-1,-1
56.64M,"28,401",-12.93M,-1,624,7.50,Strong Buy,12.50,"Sep 16, 2024",FISI,"Financial Institutions, Inc.",401.35M,25.94,220.79M,4.68%,16.24%,29.81%,-2.55%,+43.70%,Financial Institutions Declares Dividends for Shareholders,,,,,Financial Institutions Declares Dividends for Shareholders,0,0,-1,-1,-1,-1
14.19M,"36,441",35.77M,$0.96,67,29.90,Hold,29.00,"Oct 21, 2024",SERV,Serve Robotics Inc.,400.22M,10.19,1.52M,-25.66%,23.75%,65.46%,-46.63%,,"Lightning Round: Chipotle is likely done going down, says Jim Cramer",Cramer’s Lightning Round: Builders FirstSource ‘can go higher’,Serve Robotics files to sell 3.31M shares of common stock for holders,Largest borrow rate increases among liquid names,Serve Robotics Inc put volume heavy and directionally bearish,"Lightning Round: Chipotle is likely done going down, says Jim Cramer Cramer’s Lightning Round: Builders FirstSource ‘can go higher’ Serve Robotics files to sell 3.31M shares of common stock for holders Largest borrow rate increases among liquid names Serve Robotics Inc put volume heavy and directionally bearish",0,0,0,1,1,1
29.07M,"102,685",24.94M,$0.88,224,14.53,Hold,15.50,"Jul 29, 2024",LYEL,"Lyell Immunopharma, Inc.",399.36M,1.56,54.00K,1.06%,-9.34%,-28.96%,-9.94%,-30.62%,Lyell Immunopharma Announces Participation in September Investor Conferences,"Analysts Offer Insights on Healthcare Companies: BioNTech SE (BNTX), Lyell Immunopharma (LYEL) and Janux Therapeutics Inc (JANX)",Caribou Biosciences Ltp appoims Albertso as CMO,,,"Lyell Immunopharma Announces Participation in September Investor Conferences Analysts Offer Insights on Healthcare Companies: BioNTech SE (BNTX), Lyell Immunopharma (LYEL) and Janux Therapeutics Inc (JANX) Caribou Biosciences Ltp appoims Albertso as CMO",0,1,0,0,-1,-1
118.69M,"3,827,009",-31.70M,-1,516,3.630,Strong Buy,5.67,"Aug 12, 2024",TMCI,"Treace Medical Concepts, Inc.",399.26M,6.42,198.53M,-3.22%,-9.53%,-36.93%,-13.28%,-47.79%,Maintaining Hold on Treace Medical Concepts Amidst Stable Growth and Anticipated Product Launches,Treace Announces Participation in the Morgan Stanley 22nd Annual Global Healthcare Conference,,,,Maintaining Hold on Treace Medical Concepts Amidst Stable Growth and Anticipated Product Launches Treace Announces Participation in the Morgan Stanley 22nd Annual Global Healthcare Conference,0,0,1,-1,-1,-1
28.04M,"132,604",-276.15M,$0.75,,15.04,Hold,,"Jul 2, 2024",HRZN,Horizon Technology Finance Corporation,399.18M,11.07,109.13M,-2.30%,-6.43%,-9.05%,-5.76%,-2.49%,"Ex-Dividend Date Nearing for These 10 Stocks – Week of August 12, 2024",,,,,"Ex-Dividend Date Nearing for These 10 Stocks – Week of August 12, 2024",0,0,-1,-1,-1,-1
