Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date,Symbol,Market Cap,Stock Price,Revenue,MA20,MA50,MA200,20-Day Percent Change,100-Day Percent Change,News1,News2,News3,News4,News5,P/E Ratio,Dividend Yield (%),Market Cap to Revenue Ratio,Earnings Per Share (EPS),Revenue Per Employee,Target Price Difference (%)
,,,,253.0,,,,,NIPG,,8.1,,-10.39%,-14.03%,-14.03%,-27.84%,,NIP Group Enters Esports Hotel Sector with Strategic Partnership with Homeinns,,,,,,,,,,
,"590,580",,,2000.0,2.23,,,"Aug 20, 2024",BWMN,,24.95,,-6.82%,-18.41%,-23.09%,-33.71%,-26.96%,Craig-Hallum Reaffirms Their Buy Rating on Bowman Consulting Group (BWMN),Bowman contracted to commence roadway project in Philadelphia,"Analysts Conflicted on These Industrial Goods Names: Kornit Digital (KRNT), Titan Machinery (TITN) and Bowman Consulting Group (BWMN)",Bowman Consulting Group (BWMN) Gets a Buy from Craig-Hallum,"Analysts Conflicted on These Industrial Goods Names: Donaldson Company (DCI), Titan Machinery (TITN) and Bowman Consulting Group (BWMN)",,,,,,
,"113,021",,0.56,91.0,13.63,Strong Buy,17.33,"Aug 8, 2024",NGNE,,34.94,,-1.45%,-5.19%,13.63%,-13.10%,-13.46%,Three new option listings and one option delisting on August 14th,Buy Rating for Neurogene: Promising Rett Syndrome Program and Strong Financial Outlook,Buy Rating on Neurogene Backed by Strong 2Q24 Earnings and Promising Pipeline Progress,Buy Rating Affirmed for Neurogene Amid Promising Outlook for Gene Therapy Candidate NGN-401,Neurogene’s NGN-401 Wins Key FDA Designation,,1.602747567258157,,,,-50.40068689181454
,,,,1325.0,,,,,NWPX,,45.76,,9.83%,20.98%,37.38%,+15.94%,+28.31%,,,,,,,,,,,
,"187,365",,0.2,7900.0,14.17,Buy,15.0,"Jul 25, 2024",KE,,18.24,1.71,-9.57%,-16.13%,-20.65%,-22.74%,-13.30%,Kimball Electronics (KE) Receives a Buy from Cantor Fitzgerald,Kimball Electronics price target lowered to $22 from $28 at Cantor Fitzgerald,Kimball Electronics price target lowered to $23 from $25 at Lake Street,Kimball Electronics price target lowered to $29 from $30 at B. Riley,Kimball Electronics downgraded to Neutral from Buy at Sidoti,,1.0964912280701755,,,0.00021645569620253163,-17.763157894736835
,"78,135",,,635.0,15.46,Strong Buy,20.0,"Sep 5, 2024",NTGR,,15.78,,2.93%,5.00%,10.92%,+2.08%,+7.92%,Netgear teams with Samsung Electronics on interoperability and roaming,Netgear Announces Chief Revenue Officer’s Upcoming Departure,,,,,,,,,26.7427122940431
,988,,,176.0,2.61,Buy,6.0,"Sep 6, 2024",HNST,,4.52,,11.53%,25.72%,38.85%,+13.40%,+11.61%,Honest Company enters collaboration with Lil’ Libros,Telsey Advisory Sticks to Its Hold Rating for Honest Company (HNST),Wall Street Analysts Are Bullish on Top Consumer Goods Picks,Honest Company price target raised to $5 from $3 at Loop Capital,,,,,,,32.74336283185842
,"315,470",,0.44,1321.0,10.87,Buy,11.6,"Aug 8, 2024",BIGC,,5.81,,-3.21%,-17.86%,-24.20%,-28.52%,-10.37%,BigCommerce price target lowered to $6 from $8 at BofA,Barclays Gives a Hold Rating to BigCommerce Holdings (BIGC),KeyBanc Sticks to Their Hold Rating for BigCommerce Holdings (BIGC),Stifel Nicolaus Remains a Buy on BigCommerce Holdings (BIGC),"BigCommerce Holdings: Strong Buy Rating on Product Innovation, Enterprise Growth, and Strategic Leadership",,7.573149741824441,,,,99.65576592082617
,"246,301",,,24.0,4.74,,,"Sep 3, 2024",OPT,,2.87,,20.82%,34.75%,5.66%,+30.40%,-27.98%,Optimistic Buy Rating for Opthea Limited Amid Anticipated Success of Sozinibercept Trials,Opthea Prepares for Phase 3 Results with Leadership Revamp,Opthea announces executive leadership changes and senior hires,Opthea Announces Executive Leadership Changes and Senior Hires,Opthea to Participate in H.C. Wainwright 26th Global Investment Conference and Cantor 2024 Global Healthcare Conference,,,,,,
,"149,087",,,52.0,4.79,Strong Buy,7.0,"Aug 8, 2024",TSHA,,2.2,,-1.99%,-8.77%,-7.06%,-5.43%,-22.01%,Taysha Gene Therapies Announces Inducement Grant Under Nasdaq Listing Rule 5635(c)(4),Taysha Gene Therapies announces inducement grant under Nasdaq listing rule,Buy Rating for Taysha Gene Therapies Backed by Extended Cash Runway and Promising Trial Prospects,Maintained Buy Rating on Taysha Gene Therapies Amid Progress and Solid Financials,Taysha Gene Therapies price target lowered to $6 from $7 at Canaccord,,,,,,218.18181818181816
,"102,063",,,292.0,3.07,,,"Sep 6, 2024",EVGO,,4.21,,15.39%,31.58%,59.28%,+7.81%,+93.46%,Needham Sticks to Their Hold Rating for EVgo (EVGO),EVgo management to meet virtually with Needham,,,,,,,,,
,"779,850",,0.68,499.0,6.23,Hold,7.0,"Aug 9, 2024",LSEA,,12.3,1.4,7.79%,17.18%,8.64%,-1.48%,-10.58%,,,,,,,5.528455284552845,,,0.0028056112224448897,-43.08943089430895
,"46,633",,,,14.92,Hold,,"Jul 29, 2024",ANSC,,10.34,,0.12%,0.48%,1.22%,+0.34%,+1.77%,Agriculture & Natural Solutions’ Strategic Business Combination and Expansion,,,,,,,,,,
,"13,505",,0.6,400.0,61.26,Strong Buy,63.5,"Oct 21, 2024",GRVY,,64.15,,-7.09%,-15.65%,-12.01%,-21.83%,-17.92%,,,,,,,0.9353078721745907,,,,-1.0132501948558155
,"1,011,496",-2.88,,754.0,15.41,,,"Aug 13, 2024",ALRS,,22.48,,3.65%,7.51%,6.89%,-0.98%,+6.62%,,,,,,,,,,,
,"17,213",,1.36,116.0,47.38,,,"Oct 16, 2024",FHTX,,8.01,,23.02%,31.18%,39.76%,+8.26%,+7.04%,Foghorn Therapeutics appoints Anna Rivkin as CBO,"Foghorn Therapeutics Strengthens Leadership Team with Appointment of Anna Rivkin, Ph.D. as Chief Business Officer",Foghorn Therapeutics initiated with a Buy at Jefferies,Innovative Cancer Treatments Propel Foghorn Therapeutics’ Growth Potential: Analyst Buy Rating Justified,Foghorn Therapeutics to Participate in Two Upcoming Investor Conferences in September,,16.97877652933833,,,,
,"510,500",,,129.0,4.79,Buy,10.83,"Aug 13, 2024",DHIL,,160.96,,3.92%,6.92%,3.66%,+1.21%,+7.82%,,,,,,,,,,,-93.27162027833002
,"136,753",,,3227.0,39.49,Strong Buy,62.25,"Aug 8, 2024",ADTN,,5.59,,-1.20%,-2.62%,-7.28%,-20.38%,+7.16%,Adtran Executives’ Contracts Extended and Salaries Adjusted,,,,,,,,,,1013.5957066189624
,"856,554",,,1300.0,3.89,Hold,3.45,"Sep 16, 2024",HCAT,,7.27,,1.89%,3.25%,-9.35%,-7.46%,+3.65%,Health Catalyst price target raised to $13 from $10 at JPMorgan,Health Catalyst to Participate in Upcoming Investor Conferences,Health Catalyst price target lowered to $11 from $14 at Piper Sandler,"Analysts Offer Insights on Healthcare Companies: Sanofi (OtherSNYNF), Progyny (PGNY) and Health Catalyst (HCAT)",Health Catalyst (HCAT) Receives a Buy from Barclays,,,,,,-52.54470426409903
,"2,855,960",,,686.0,0.773,Buy,1.7,"Sep 3, 2024",BYND,,6.74,,1.62%,-3.78%,-16.26%,-3.34%,-18.08%,Beyond Meat to launch new steak alternative as it focuses on health,Largest borrow rate increases among liquid names,Beyond Meat (BYND) Receives a Hold from BTIG,Beyond Meat price target lowered to $5 from $6 at Mizuho,Analysts Offer Insights on Consumer Goods Companies: Beyond Meat (BYND) and Target (TGT),,,,,,-74.77744807121661
,"128,073",,,1030.0,17.33,Buy,25.25,"Aug 1, 2024",CYRX,,8.86,,3.24%,8.10%,-33.60%,-5.42%,-52.06%,,,,,,,,,,,184.98871331828443
,"230,355",,0.96,181.0,12.86,Hold,13.5,"Aug 5, 2024",FATE,,3.84,,-8.94%,-8.60%,-21.23%,-34.15%,-49.28%,Fate Therapeutics Strengthens Legal Safeguards for Leadership,Analysts Offer Insights on Healthcare Companies: PROCEPT BioRobotics (PRCT) and Fate Therapeutics (FATE),Fate Therapeutics: Hold Rating Amid Financial Stability and Upcoming Milestones,Fate Therapeutics’ Promising Outlook: Buy Rating on Innovative Cell Therapy Programs FT819 and FT522,Fate Therapeutics (FATE) Gets a Hold from Stifel Nicolaus,,25.0,,,,251.5625
,,,,20.0,,,,,GTI,,2.97,,7.50%,-27.22%,-66.66%,-16.15%,-64.71%,,,,,,,,,,,
,"16,725",,1.85,590.0,47.17,Hold,47.0,"Jul 25, 2024",MITK,,9.43,,-8.01%,-15.19%,-22.26%,-30.88%,-36.99%,Craig-Hallum Keeps Their Buy Rating on Mitek Systems (MITK),Mitek Systems downgraded to Hold from Buy at Jefferies,Mitek Systems Hold Rating and Revised Financial Forecasts Amidst Strategic Uncertainty,Mitek Systems and Alogent team on expanding ‘check fraud epidemic’,"Texas probes CenterPoint, Starbucks in talks with Elliott: Morning Buzz",,19.618239660657476,,,,398.40933191940616
,,,,1540.0,,,,,LYTS,,15.39,,4.00%,4.12%,7.67%,-8.44%,+2.36%,Craig-Hallum Sticks to Their Buy Rating for Lsi Industries (LYTS),Optimistic Future and Buy Rating for LSI Industries Amid Financial Resilience and Strategic Growth,"Analysts Are Bullish on These Technology Stocks: Globant SA (GLOB), Lsi Industries (LYTS)",Buy Rating Affirmed: Strategic Acquisitions and Strong Financial Performance Propel LSI Industries’ Growth Outlook,LSI Industries Financial Results Conference Call Announcement,,,,,,
,,,,637.0,,,,,CERS,,2.33,,5.13%,11.86%,19.08%,-0.88%,+19.79%,,,,,,,,,,,
,,,,115.0,,,,,AEHR,,14.59,,0.45%,2.18%,-10.34%,-23.58%,+27.16%,Aehr Test Systems Enhances Executive Severance Agreements,Aehr Test Systems secures first multisystem orders for Sonoma system,,,,,,,,,
,"28,645",,1.0,267.0,31.44,,,"Oct 2, 2024",SVCO,,16.36,,1.13%,-7.22%,-8.77%,-9.42%,,,,,,,,6.112469437652813,,,,
,"94,322",,0.6,556.0,41.62,,,"Aug 1, 2024",KRNY,,6.88,,5.30%,7.62%,1.12%,-5.83%,+10.06%,,,,,,,8.720930232558139,,,,
,"203,392",,,3064.0,9.75,Strong Buy,12.0,"Aug 7, 2024",CVGW,,24.11,,3.78%,3.33%,-8.25%,-1.68%,-8.56%,Why most of the avocados in the U.S. come from Mexico,Calavo Growers (CVGW) Q3 Earnings Cheat Sheet,Calavo Growers (CVGW) Gets a Buy from Lake Street,Calavo Growers to Report Third Quarter Financial Results,Calavo Growers Streamlines Operations and Amends Credit Terms,,,,,,-50.228121111571966
,"936,903",,,377.0,6.64,Buy,9.29,"Aug 1, 2024",XERS,,2.88,,14.22%,21.06%,27.64%,+12.50%,+36.76%,Buy Rating Affirmed: Xeris Pharmaceuticals Outperforms with Strong Sales and Promising Pipeline,"Analysts Offer Insights on Healthcare Companies: Xeris Pharmaceuticals (XERS), Aldeyra Therapeutics (ALDX) and Immunic (IMUX)",Oppenheimer Reaffirms Their Buy Rating on Xeris Pharmaceuticals (XERS),Xeris Biopharma price target raised to $5 from $4.50 at Craig-Hallum,,,,,,,222.56944444444443
,"529,444",,,293.0,10.43,Sell,11.0,"Aug 9, 2024",CWCO,,26.96,,2.95%,4.68%,-4.67%,-5.16%,+5.63%,Consolidated Water increases dividend and declares Q4 11c cash dividend,Consolidated Water Increases Dividend and Declares Fourth Quarter Cash Dividend of $0.11 per Share,"Cisco, Walmart report quarterly earnings beats: Morning Buzz","Consolidated Water reports Q2 EPS 99c, consensus 34c","Is CWCO a Buy, Before Earnings?",,,,,,-59.19881305637983
,"287,878",,,480.0,4.35,Strong Buy,8.67,"Aug 6, 2024",ALTI,,4.64,,2.28%,-7.67%,-26.53%,-15.92%,-16.43%,Alvarium Tiedemann Issues Updated Investor Presentation,,,,,,,,,,86.85344827586208
,"129,191",,,796.0,8.1,,,,PACB,,1.56,,-9.23%,-8.72%,-65.86%,-34.47%,-59.70%,PacBio announces collaboration with University Hospital of Munster,PacBio price target lowered to $7 from $8 at Scotiabank,Pacific Biosciences (PACB) Receives a Buy from Scotiabank,PacBio to Present at the Morgan Stanley 22nd Annual Global Healthcare Conference,PacBio price target lowered to $2.50 from $3.50 at Stephens,,,,,,
,"78,531",,,69.0,24.95,Strong Buy,41.08,"Aug 6, 2024",ISPR,,7.5,,0.42%,-1.01%,-15.49%,-5.50%,+24.05%,,,,,,,,,,,447.7333333333333
,"47,136",,,532.0,34.94,Strong Buy,49.0,"Aug 9, 2024",BSRR,,29.9,,5.21%,14.63%,36.95%,+0.58%,+50.98%,,,,,,,,,,,63.87959866220737
,"57,811",,,564.0,45.76,Strong Buy,45.0,"Jul 31, 2024",FFIC,,14.53,,4.90%,3.67%,3.65%,-3.73%,+18.96%,,,,,,,,,,,209.70406056434962
,"131,261",,,20.0,18.24,Buy,23.8,"Aug 13, 2024",HIVE,,3.63,,8.20%,0.49%,1.30%,-14.60%,-2.52%,HIVE Digital Boosts Bitcoin Holdings and Mining Efficiency,Hive Digital announces 112 bitcoin produced in August,HIVE Digital Technologies: A Strong Buy on Undervaluation and Growth Prospects in HPC/AI,Hive Digital upgraded to Buy from Neutral at H.C. Wainwright,"Options Volatility and Implied Earnings Moves Today, August 13, 2024",,,,,,555.6473829201103
,"303,334",,,3353.0,15.78,Buy,15.0,"Jul 31, 2024",RDUS,,15.04,2.69,2.83%,-1.15%,-25.50%,-17.00%,-24.72%,,,,,,,,,,0.0008022666269012825,-0.26595744680850497
,"802,737",,,559.0,4.52,Buy,4.65,"Aug 8, 2024",CCSI,,21.83,,13.87%,22.14%,23.94%,+8.64%,+69.40%,"Wednesday’s top analyst calls: Nvidia, Apple, Netflix, Sunrun, Amazon and more","AmEx downgraded, Texas Instruments upgraded: Wall Street’s top analyst calls",Consensus Cloud Solutions upgraded to Buy from Neutral at BTIG,BTIG Sticks to Their Hold Rating for Consensus Cloud Solutions (CCSI),Wedbush Keeps Their Buy Rating on Consensus Cloud Solutions (CCSI),,,,,,-78.69903802107191
,"492,530",,,2800.0,5.81,Hold,9.22,"Aug 1, 2024",SENEB,,57.51,1.46,,22.14%,23.94%,+3.79%,+88.29%,,,,,,,,,,0.0005214285714285714,-83.9680055642497
,"2,921",,,600.0,2.9,Buy,16.0,"Sep 3, 2024",RMR,,25.14,,2.76%,4.67%,3.33%,-2.51%,+8.45%,The RMR Group Highlights Growth and Stability in Real Estate,Oppenheimer Reaffirms Their Hold Rating on The RMR Group (RMR),RMR Group announces early renewal of Vertex Pharmaceuticals lease,,,,,,,,-36.35640413683373
,"1,132,490",,,2800.0,2.2,Strong Buy,6.22,"Aug 12, 2024",SENEA,,60.5,1.46,-0.47%,0.10%,7.89%,-0.23%,+7.94%,,,,,,,,,,0.0005214285714285714,-89.7190082644628
,"4,037,740",,,102.0,4.21,Buy,4.63,"Aug 1, 2024",KRRO,,45.09,,20.06%,19.52%,-2.80%,+7.35%,-26.10%,Korro Bio Board Changes and Strategic Advisor Agreement,Korro Bio appoints Katharine Knobil to board of directors,Korro to Participate in Upcoming September Investor and Scientific Conferences,Analysts Offer Insights on Healthcare Companies: Korro Bio (KRRO) and Gilead Sciences (GILD),"Starbucks, Chipotle upgraded: Wall Street’s top analyst calls",,,,,,-89.73164781548014
,"144,100",,,3508.0,12.3,Buy,14.67,"Aug 1, 2024",MERC,,6.27,1.99,-7.56%,-20.20%,-32.07%,-22.57%,-41.35%,Mercer International Inc. to Present at Upcoming Jefferies 2024 Industrials Conference,CIBC Sticks to Their Hold Rating for Mercer International (MERC),Mercer price target lowered to $8.50 from $10 at CIBC,Mercer price target lowered to $8 from $10 at RBC Capital,RBC Capital Keeps Their Hold Rating on Mercer International (MERC),,,,,0.0005672748004561004,133.9712918660287
,"12,119",,,255.0,10.33,,,,VERV,,4.94,,2.35%,-5.13%,-42.17%,-16.14%,-31.10%,Verve Therapeutics’ (VERV) Gene-Editing Therapies Could Be a Game Changer,Verve Therapeutics Announces Inducement Grants under Nasdaq Listing Rule 5635(c)(4),"Levi & Korsinsky LLP Notifies Shareholders of Verve Therapeutics, Inc.(VERV) of a Class Action Lawsuit and an Upcoming Deadline",Verve Therapeutics price target lowered to $29 from $30 at Canaccord,Buy Rating Affirmed for Verve Therapeutics Amidst Clinical Progress and Strong Financials,,,,,,
,,,,420.0,,,,,PERI,,8.62,,1.18%,0.78%,-53.67%,-3.88%,-60.07%,Perion Network Sets Annual Shareholder Meeting,,,,,,,,,,
,"22,372",,,3778.0,64.15,,,"Aug 9, 2024",RICK,,46.34,,2.84%,4.49%,-12.18%,-6.59%,-15.52%,RCI Hospitality Holdings (RICK) Declares Q3 Dividend: Important Details for Shareholders,RCI Increases Quarterly Cash Dividend by 16.7%,RCI Hospitality Holdings: Strong Buy on Revenue Growth and Strategic Acquisitions,,,,,,,,
,"59,619",,0.8,571.0,22.48,Hold,23.33,"Jul 24, 2024",ITIC,,221.2,,6.31%,14.77%,33.16%,+5.02%,+39.79%,,,,,,,0.36166365280289337,,,,-89.45298372513562
,"150,100",,,,8.01,Buy,14.75,"Aug 8, 2024",SDST,,8.86,,-20.45%,-24.69%,-21.15%,-40.87%,-20.56%,Stardust Power selects Primero USA to complete engineering study,Stardust Power Selects Primero USA to complete Definitive Engineering Study,,,,,,,,,66.47855530474041
,"23,895",,6.0,2280.0,160.96,,,"Jul 31, 2024",CRMT,,62.51,1.39,2.89%,1.03%,-2.13%,-11.54%,+3.78%,"America’s Car-Mart reports Q1 EPS 63c, consensus 66c","America’s Car-Mart, Inc. (CRMT) Q1 Earnings Cheat Sheet",America’s Car-Mart Shareholders Back Incentive Plan and Governance,Jefferies Sticks to Its Hold Rating for America’s Car-Mart (CRMT),America’s Car-Mart assumed with a Hold at Jefferies,,9.598464245720685,,,0.0006096491228070175,
,"388,833",,0.36,1050.0,5.59,Buy,7.0,"Aug 5, 2024",RWAY,,10.71,,-0.97%,-5.23%,-11.52%,-10.98%,-14.45%,Runway Growth Finance upgraded to Buy from Neutral at Compass Point,J.P. Morgan Reaffirms Their Hold Rating on Runway Growth Finance Corp (RWAY),Runway Growth Finance price target lowered to $11 from $12 at Wells Fargo,Runway Growth Finance Corp.: Equal Weight Rating Amidst NOI Decline and Leverage Challenges,Compass Point Reaffirms Their Hold Rating on Runway Growth Finance Corp (RWAY),,3.361344537815126,,,,-34.640522875817
,"421,985",,,164.0,7.27,Buy,11.55,"Aug 7, 2024",NNOX,,7.04,,-9.14%,-11.64%,-16.12%,-27.61%,-40.91%,Largest borrow rate increases among liquid names,"Nanox Receives FDA Clearance for HealthCCSng V2.0, Upgraded Version of Advanced AI Cardiac Solution Empowering Physicians in Assessment of Coronary Artery Calcium",Nano-X Imaging receives FDA clearance for HealthCCSng V2.0,"Nano-X Imaging reports Q2 EPS (23c), consensus (22c)","Options Volatility and Implied Earnings Moves Today, August 20, 2024",,,,,,64.06250000000001
,"1,954,260",,,302.0,6.74,Sell,5.07,"Aug 7, 2024",STRO,,5.01,,22.48%,30.26%,22.05%,+18.39%,-3.69%,Sutro Biopharma’s Promising Oncology Prospects and Solid Financials Merit a Buy Rating,Sutro Biopharma announces initiation of REFRalphaME-L1 Phase 2 trial,Sutro Biopharma price target lowered to $15 from $18 at Truist,Truist Financial Sticks to Their Buy Rating for Sutro Biopharma (STRO),Sutro Biopharma’s Strong Financials and Clinical Progress Reinforce Buy Rating,,,,,,1.1976047904191716
,"717,455",,,257.0,8.86,Buy,12.5,"Aug 6, 2024",LMNR,,22.73,,17.40%,18.59%,28.44%,+12.30%,+26.66%,LMNR Upcoming Earnings Report: What to Expect?,Lake Street Sticks to Their Buy Rating for Limoneira Co (LMNR),Limoneira price target raised to $28 from $24 at B. Riley,Limoneira Co Incentivizes Executives for Successful Company Sale,,,,,,,-45.006599208095025
,"728,217",,,376.0,3.84,Hold,6.55,"Aug 13, 2024",RBB,,22.98,,3.08%,9.67%,23.05%,-1.34%,+30.36%,Piper Sandler Keeps Their Hold Rating on Rbb Bancorp (RBB),KBW Gives a Hold Rating to Rbb Bancorp (RBB),RBB Bancorp announces termination of consent order,RBB Bancorp Announces Termination of Consent Order,,,,,,,-71.49695387293298
,"167,283",,,754.0,2.97,,,"Aug 12, 2024",APPS,,3.98,,21.40%,57.10%,5.56%,+46.64%,+60.83%,Largest borrow rate increases among liquid names,Digital Turbine Shareholders Approve Equity Plan and Elect Directors,"Analysts Conflicted on These Technology Names: Kenvue, Inc. (KVUE), Super Micro Computer (SMCI) and Digital Turbine (APPS)",,,,,,,,
,"482,720",,,2530.0,9.43,Strong Buy,13.0,"Aug 8, 2024",PTSI,,18.74,,-0.85%,-1.72%,-2.76%,-9.02%,+21.72%,,,,,,,,,,,-30.629669156883665
,"90,101",,0.2,4362.0,15.34,Strong Buy,20.33,"Aug 15, 2024",LOCO,,13.62,,8.83%,16.49%,38.93%,+14.05%,+50.66%,El Pollo Loco Taps Content Creator Yuri Lamasbella as New Kreative Director for its Double Chopped Salads Campaign,,,,,,1.4684287812041117,,,,49.26578560939794
,"527,309",,,365.0,2.33,Buy,3.25,"Aug 1, 2024",CLMB,,91.12,,16.06%,33.72%,51.89%,+29.56%,+34.57%,Climb Global Solutions: A Strong Buy on Strategic Positioning and Growth Potential,Climb Channel Solutions Announces the Launch of MSP360 Partnership in North America,Climb Channel Solutions announce launch of MSP360 partnership,Climb Global Solutions: A Strong Buy on Robust Financial Performance and Strategic Acquisitions,Climb Global price target raised to $90 from $68 at Barrington,,,,,,-96.4332748024583
,"1,021,411",,,135.0,14.59,Hold,12.0,"Oct 3, 2024",AQST,,4.46,,19.47%,43.34%,49.23%,+18.49%,+10.98%,Aquestive Therapeutics to Participate in Two Upcoming Investor Conferences,Aquestive Therapeutics reiterates expected timing for NDA filing of Anaphylm,Aquestive Therapeutics Comments on Recent FDA Approval of Non-Injection-Based Epinephrine Product for the Treatment of Anaphylaxis and Reiterates Expected Timing for NDA Filing of Anaphylm™,Buy Rating Affirmed for Aquestive Therapeutics as Anaphylm™ Poised to Transform Epinephrine Market,Aquestive Therapeutics (AQST) Gets a Buy from Lake Street,,,,,,169.05829596412556
,"130,341",,,54.0,16.36,Strong Buy,25.83,"Aug 7, 2024",NVEC,,84.0,,2.74%,6.53%,6.35%,-8.29%,-3.91%,,,,,,,,,,,-69.25
,"401,484",,0.44,,6.88,Hold,7.0,"Jul 25, 2024",NETD,,10.63,,0.02%,0.38%,1.53%,+0.14%,+1.68%,,,,,,,4.139228598306679,,,,-34.14863593603011
,"115,255",,0.4,44.0,24.11,Buy,38.5,"Sep 4, 2024",TRML,,15.79,,12.19%,12.89%,-24.97%,+4.27%,-22.16%,Tourmaline Bio Showcases Promising Candidate in Updated Presentation,Tourmaline Bio (TRML) Receives a Buy from Piper Sandler,Tourmaline Bio to Present at Upcoming Investor Conferences,"Analysts Offer Insights on Healthcare Companies: Tourmaline Bio (TRML), Amicus (FOLD) and Kura Oncology (KURA)",Tourmaline Bio price target lowered to $15 from $18 at Truist,,2.53324889170361,,,,143.82520582647246
,"912,736",,,28.0,2.88,Strong Buy,4.63,"Aug 8, 2024",IPX,,15.82,,6.99%,7.81%,20.73%,+13.36%,+15.00%,IPX Stock trading resumes,"IPX Stock trading halted, volatility trading pause",,,,,,,,,-70.73324905183313
,"58,728",,0.38,,26.96,,,"Aug 14, 2024",WALD,,3.29,,1.34%,-12.26%,-53.92%,-2.55%,-52.34%,Waldencast Acquisition (WALD) Gets a Buy from D.A. Davidson,Waldencast price target raised to $7.25 from $6.50 at DA Davidson,Telsey Advisory Remains a Buy on Waldencast Acquisition (WALD),Waldencast Targets Growth in Beauty Sector,Waldencast Unveils Post-Acquisition Financials,,11.55015197568389,,,,
,"129,000",,,11.0,4.64,Strong Buy,9.0,"Aug 9, 2024",ELYM,,6.0,,-8.29%,-15.36%,26.24%,-25.21%,+138.46%,Eliem Therapeutics: Executive Changes Amid Strategic Shift,Eliem Therapeutics Names Brett Kaplan as New COO,"Eliem Therapeutics appoints Kaplan as COO, Rampal as SVP, Clinical Development",,,,,,,,50.0
,"5,785,736",,,122.0,1.56,Buy,4.64,"Aug 7, 2024",VALU,,42.7,,-1.10%,-3.13%,-0.29%,-13.59%,+6.55%,,,,,,,,,,,-89.13348946135832
,"28,401",,,624.0,7.5,Strong Buy,12.5,"Sep 16, 2024",FISI,,25.94,,4.68%,16.24%,29.81%,-2.55%,+43.70%,Financial Institutions Declares Dividends for Shareholders,,,,,,,,,,-51.81187355435621
,"36,441",,0.96,67.0,29.9,Hold,29.0,"Oct 21, 2024",SERV,,10.19,,-25.66%,23.75%,65.46%,-46.63%,,"Lightning Round: Chipotle is likely done going down, says Jim Cramer",Cramer’s Lightning Round: Builders FirstSource ‘can go higher’,Serve Robotics files to sell 3.31M shares of common stock for holders,Largest borrow rate increases among liquid names,Serve Robotics Inc put volume heavy and directionally bearish,,9.421000981354268,,,,184.59273797841024
,"102,685",,0.88,224.0,14.53,Hold,15.5,"Jul 29, 2024",LYEL,,1.56,,1.06%,-9.34%,-28.96%,-9.94%,-30.62%,Lyell Immunopharma Announces Participation in September Investor Conferences,"Analysts Offer Insights on Healthcare Companies: BioNTech SE (BNTX), Lyell Immunopharma (LYEL) and Janux Therapeutics Inc (JANX)",Caribou Biosciences Ltp appoims Albertso as CMO,,,,56.41025641025641,,,,893.5897435897436
,"3,827,009",,,516.0,3.63,Strong Buy,5.67,"Aug 12, 2024",TMCI,,6.42,,-3.22%,-9.53%,-36.93%,-13.28%,-47.79%,Maintaining Hold on Treace Medical Concepts Amidst Stable Growth and Anticipated Product Launches,Treace Announces Participation in the Morgan Stanley 22nd Annual Global Healthcare Conference,,,,,,,,,-11.682242990654206
,"132,604",,0.75,,15.04,Hold,,"Jul 2, 2024",HRZN,,11.07,,-2.30%,-6.43%,-9.05%,-5.76%,-2.49%,"Ex-Dividend Date Nearing for These 10 Stocks – Week of August 12, 2024",,,,,,6.775067750677506,,,,
,"153,050",,,58.0,21.83,Buy,24.25,"Aug 8, 2024",LXEO,,12.05,,-8.95%,-18.52%,-22.18%,-8.92%,-12.01%,Lexeo Therapeutics to Participate in Upcoming Investor Conferences,Buy Rating for Lexeo Therapeutics Backed by Strong Finances and Promising Clinical Trials,Buy Rating on Lexeo Therapeutics: Promising Clinical Advancements and Strategic FDA Engagement,"Analysts Conflicted on These Healthcare Names: Amylyx Pharmaceuticals Inc (AMLX), Taysha Gene Therapies (TSHA) and Lexeo Therapeutics, Inc. (LXEO)","Lexeo Therapeutics, Inc. (LXEO) Receives a Buy from RBC Capital",,,,,,101.2448132780083
,2,,,2300.0,61.54,,,"Sep 3, 2024",ATNI,,26.82,,0.65%,9.95%,-9.30%,-10.85%,-6.54%,ATN International Secures $390M Credit for Refinancing and Growth,,,,,,,,,,
,"58,071",,1.8,2300.0,25.14,Buy,32.0,"Aug 1, 2024",LINC,,12.63,,0.07%,0.39%,15.66%,-12.12%,+22.29%,Lincoln Educational Services to Provide Business Overview and Highlight Growth Strategy at Midwest IDEAS Conference,,,,,,14.251781472684085,,,,153.36500395882814
,"24,054",,,2149.0,60.5,,,"Aug 8, 2024",AAOI,,9.71,,10.18%,4.07%,-31.35%,-4.50%,-27.16%,Applied Optoelectronics (AAOI) solidifies its Position in the AI Realm,Applied Optoelectronics call volume above normal and directionally bullish,"ESPN goes dark on DirecTV, Harris to oppose Nippon-U.S. Steel deal: Morning Buzz",Applied Optoelectronics upgraded to Outperform from Market Perform at Raymond James,Buy Rating for Applied Optoelectronics: Market Position and Growth Potential Propel Analyst Optimism,,,,,,
,"97,986",,,679.0,45.09,Strong Buy,123.75,"Aug 13, 2024",CARE,,17.2,,5.64%,9.82%,22.96%,+3.99%,+41.99%,Carter Bankshares price target raised to $21 from $20 at Raymond James,,,,,,,,,,619.4767441860465
